Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
4622	21#22#27#28#28#54#30#30#30#22#22#28#34	4.1033007437363267E-4#1.341849274467677E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0011681352043524384#0.0011027492582798004#1.0555902554187924E-4#0.0	9.163337008659129E-9#1.0329573591782705E-8#3.742548910954211E-9#1.0573074125082901E-11#1.0618193737810491E-11#6.358526003153147E-28#2.764131448561587E-13#2.764131448561587E-13#2.735019551088163E-13#1.0536252879410694E-9#1.0549994246535604E-9#6.795001977606902E-14#1.4030389155251607E-16	1#1#2#4#4#8#4#4#4#3#3#4#6	1#1#2#5#5#12#5#5#5#3#3#5#7	2#2#4#9#9#20#9#9#9#6#6#9#13	4#4#5#7#7#14#7#7#7#5#5#7#9	4.36#4.33#4.14#4.07#4.07#5.01#3.93#3.93#3.93#3.8#3.8#3.93#3.69	3#3#3#2#2#4#2#2#2#2#2#2#2	12#14#16#22#22#44#23#23#23#14#14#20#29	155.0#155.0#173.0#207.0#207.0#423.0#227.0#227.0#227.0#170.0#170.0#231.0#278.0	85.53397369384766#84.72847747802734#80.661376953125#78.67919921875#78.67919921875#62.233009338378906#77.0050277709961#77.0050277709961#77.0050277709961#84.12455749511719#84.12455749511719#78.05689239501953#73.51412200927734	0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1	8#8#9#9#9#16#10#10#10#8#8#10#10	0#1#1#1#22#44#45#55#56#69#70#238#282	0#6#10#9#1#28#1#0#4#2#1#8#8	0#11#15#17#2#30#26#0#8#12#2#10#10	0#132#148#258#4#1294#1157#0#28#367#6#297#312	0#132#148#258#4#1294#1157#0#28#367#6#297#312	0#1#1#1#3#1#1#0#5#1#1#4#1	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#1#1#0#0#0#0#0#0#0#0#0	0#0#1#1#0#0#0#0#0#0#0#0#0	32827.934#32515.309#41740.547#58705.98#58705.98#207230.4#67789.67#67789.67#67789.67#42724.96#42724.96#69978.6#102658.414	1823.774#1806.406#2318.9192#3261.4434#3261.4434#11512.801#3766.0928#3766.0928#3766.0928#2373.609#2373.609#3887.7002#5703.245	874.79767#883.5682#976.3871#1168.2782#1168.2782#2618.296#1300.2379#1300.2379#1300.2379#949.4436#949.4436#1316.8016#1576.9342	0.2915992#0.29452273#0.32546237#0.38942605#0.38942605#0.8727653#0.43341264#0.43341264#0.43341264#0.3164812#0.3164812#0.43893388#0.5256447	37.526318#36.8#42.75#50.25#50.25#79.14706#52.13636#52.13636#52.13636#45.0#45.0#53.142857#65.1	toJSON.json
4566	7#4	0.1608700454235077#0.09006304293870926	0.03687017693350016#0.906379854863955	4#0	4#0	8#0	4#1	3.96#2.0	1#0	3#1	54.0#15.0	109.70584106445312#127.59107971191406	0#0	0#0	1#0	0#0	0#1	0#5	0#154	0#154	0#4	0#0	0#0	0#0	5841.379#268.8722	324.52106#14.937344	256.76392#53.77444	0.08558797#0.017924814	22.75#5.0	getCodeLinesCoveredCount.json
4611	3#3#4	0.09460034966468811#0.09460034966468811#0.003413634840399027	0.33149802135433754#0.3413363347242017#0.010581751817062226	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#2.0	0#0#0	2#2#5	26.0#26.0#50.0	128.60531616210938#128.60531616210938#119.98468017578125	0#0#0	1#1#1	0#0#1	0#29#847	0#1#2	0#2#3	0#1#135	0#1#135	0#6#1	0#0#0	0#0#0	0#0#0	1127.5479#1127.5479#4478.004	62.64155#62.64155#248.778	108.41805#108.41805#232.19281	0.03613935#0.03613935#0.0773976	10.400001#10.400001#19.285713	generateJSCoverageHtml.json
4548	3	0.9346505999565125	0.9295159761573092	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	isMerge.json
4548	3	0.8095350861549377	0.9375243915689906	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getMergeDestDir.json
4548	3	0.7763091325759888	0.8681075200419038	0	0	0	1	1.89	0	0	15.0	131.9385528564453	0	0	0	0	0	0	0	0	0	0	0	0	314.10678	17.450377	57.110325	0.019036775	5.5	getMergeDirs.json
3608	11#11#12#12#12#12#12#13	1.66718615218997E-4#1.0624208516674116E-4#1.7998057592194527E-4#1.8687403644435108E-4#1.9201240502297878E-4#1.8687403644435108E-4#1.925579854287207E-4#0.0	7.392777604321415E-8#4.134365687628658E-8#2.8425352558674104E-8#3.4031035531921196E-8#3.608665596325786E-8#3.4031035531921196E-8#5.960955375003082E-8#2.0532733471763252E-9	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2	2.86#2.86#2.98#2.98#2.98#2.98#2.98#2.89	1#1#1#1#1#1#1#1	12#12#12#12#12#12#12#13	121.0#124.0#128.0#127.0#126.0#127.0#124.0#141.0	97.75703430175781#97.62968444824219#96.02874755859375#96.06953430175781#96.08502197265625#96.06953430175781#96.19384002685547#94.15401458740234	0#0#0#0#0#0#0#0	2#2#2#2#2#2#2#2	3#3#4#4#4#4#4#4	0#582#582#582#735#735#924#1000	0#1#3#1#1#1#1#1	0#2#5#2#2#2#2#1	0#6#116#6#4#4#7#106	0#6#116#6#4#4#7#106	0#2#1#1#2#3#1#1	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	25462.658#27893.547#27881.105#26798.805#25857.195#26798.805#26165.762#35652.61	1414.5922#1549.6415#1548.9503#1488.8225#1436.5109#1488.8225#1453.6534#1980.7006	682.90656#699.83813#726.07043#720.398#718.25543#720.398#703.38074#811.43915	0.22763552#0.23327938#0.24202348#0.24013267#0.23941848#0.24013267#0.23446025#0.2704797	37.285713#39.85714#38.4#37.199997#36.0#37.199997#37.199997#43.9375	getEmptyCoverageData.json
4615	7#7#7	0.7281194925308228#0.8158215880393982#0.82418292760849	0.3637918679592545#0.50624385745068#0.5693249582365718	0#0#0	0#0#0	0#0#0	2#2#2	3.02#3.02#3.02	1#1#1	1#1#1	38.0#36.0#35.0	112.25244903564453#112.68669891357422#112.91719818115234	0#0#0	1#1#1	0#0#0	0#5#33	0#1#1	0#2#2	0#8#7	0#8#7	0#3#6	0#0#0	0#0#0	0#0#0	2449.5088#2371.8513#2142.956	136.08382#131.76952#119.053116	171.89536#158.12343#151.26749	0.05729845#0.05270781#0.050422497	14.25#15.0#14.166666	toString.json
4577	3#3	0.6081351637840271#0.6081351637840271	0.9150416158166164#0.9150416158166164	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#278	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	isIncludeBranch.json
4622	7#7#7#8#8#10	0.39929160475730896#0.39929160475730896#0.05904746800661087#0.3090174198150635#0.3090174198150635#0.014251578599214554	0.6829033639382469#0.6829033639382469#0.05225616228550518#0.4350937860985006#0.4350937860985006#0.01302310126145547	2#2#3#1#1#1	1#1#2#1#1#1	3#3#5#2#2#2	3#3#5#3#3#3	3.96#3.96#3.02#3.87#3.87#4.1	1#1#0#1#1#2	1#1#3#1#1#2	33.0#33.0#53.0#39.0#39.0#61.0	112.9091567993164#112.9091567993164#109.63292694091797#109.58769226074219#109.58769226074219#103.12975311279297	0#0#0#0#0#0	1#1#1#1#1#1	1#1#2#2#2#2	0#4#181#323#323#336	0#0#4#6#0#3	0#0#8#11#0#4	0#0#120#160#0#150	0#0#120#160#0#150	0#0#2#1#0#1	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1449.4647#1449.4647#3643.4285#2867.581#2867.581#6143.9487	80.52582#80.52582#202.41269#159.31006#159.31006#341.33047	144.94647#144.94647#249.12332#181.11038#181.11038#312.88626	0.04831549#0.04831549#0.08304111#0.06037013#0.06037013#0.10429542	10.0#10.0#14.625#15.833333#15.833333#19.636364	skipInstrumentation.json
