Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
21	3#3#3	0.913459837436676#0.913459837436676#0.913459837436676	0.9400910971959786#0.9400910971959786#0.9400910971959786	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	0#0#0	12.0#12.0#12.0	133.59722900390625#133.59722900390625#133.59722900390625	0#0#0	0#0#0	0#0#0	0#3#17	0#0#0	0#0#0	0#0#0	0#0#0	0#2#0	0#0#0	0#0#0	0#0#0	186.80931#186.80931#186.80931	10.378295#10.378295#10.378295	41.51318#41.51318#41.51318	0.013837727#0.013837727#0.013837727	4.5#4.5#4.5	getLocale.json
120	18#11#8#8#10#10#10#10	0.006141871679574251#0.12345753610134125#0.14587794244289398#0.01003692951053381#0.012164609506726265#0.01168079860508442#0.01168079860508442#0.012164609506726265	0.003602711278690708#0.018770664475721625#0.009692507396682577#2.9352189788430113E-4#8.949458685349736E-5#1.2011622392617563E-4#1.2011622392617563E-4#8.949458685349736E-5	3#1#1#1#1#1#1#1	2#1#1#1#1#1#1#1	5#2#2#2#2#2#2#2	4#2#2#2#2#2#2#2	3.41#2.3#2.4#2.4#2.15#2.15#2.15#2.15	2#1#1#1#1#1#1#1	7#6#6#6#7#7#7#7	90.0#63.0#57.0#74.0#85.0#84.0#84.0#85.0	91.44192504882812#101.87846374511719#107.5079574584961#105.92904663085938#101.5156021118164#101.61540222167969#101.61540222167969#101.5156021118164	0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1	2#2#2#2#3#3#3#3	0#0#1#7#14#17#17#117	0#6#6#2#4#1#0#1	0#19#15#4#6#2#0#2	0#294#228#80#55#7#0#7	0#294#228#80#55#7#0#7	0#2#4#3#3#5#0#3	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0	17734.197#6800.95#5809.149#8260.131#11114.673#10484.025#10484.025#11114.673	985.23315#377.83057#322.7305#458.89615#617.4818#582.44586#582.44586#617.4818	453.99545#309.1341#282.3892#382.57446#446.07385#437.59412#437.59412#446.07385	0.15133181#0.103044696#0.094129734#0.12752482#0.14869128#0.14586471#0.14586471#0.14869128	39.0625#22.0#20.571428#21.59091#24.916666#23.958332#23.958332#24.916666	find.json
98	5#3#3	0.003084553172811866#0.002312288386747241#0.0011884471168741584	0.008201348297256989#0.23036811022128634#0.1815666416851566	0#0#0	0#0#0	0#0#0	1#1#1	1.96#1.89#1.89	0#0#0	7#3#3	55.0#29.0#31.0	115.69420623779297#127.8512954711914#127.42049407958984	0#0#0	0#0#0	2#0#0	0#74#75	0#1#1	0#4#2	0#189#23	0#189#23	0#7#9	0#0#0	0#0#0	0#0#0	3907.311#1023.57654#1089.2947	217.07283#56.865364#60.516373	264.4045#125.335915#136.16183	0.08813484#0.04177864#0.04538728	14.777778#8.166666#8.0	getSortBy.json
23	3#3#3#3#3	0.13829238712787628#0.28928038477897644#0.14192228019237518#0.16734062135219574#0.5728464126586914	0.7016822660602972#0.7859481693398829#0.6449069514708997#0.5923567582754243#0.835399013824179	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.89#1.89#1.89#1.89#1.89	0#0#0#0#0	3#2#2#2#2	23.0#20.0#22.0#23.0#19.0	129.58164978027344#130.44261169433594#129.81280517578125#129.4591827392578#130.70933532714844	0#0#0#0#0	1#1#1#1#1	0#0#0#0#0	0#2#2#15#19	0#1#1#1#1	0#2#2#2#2	0#13#10#10#21	0#13#10#10#21	0#1#5#9#6	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	718.86786#558.41205#590.9172#690.0#651.0577	39.937103#31.022892#32.82873#38.333332#36.169872	89.85848#76.147095#85.95159#92.0#72.339745	0.029952828#0.025382364#0.02865053#0.030666666#0.024113249	8.0#7.3333335#6.875#7.5#9.0	getResourceInteger.json
24	15#15#15	0.0016101652290672064#0.0016101652290672064#0.0015267115086317062	2.544175083570827E-4#2.544175083570827E-4#1.866312650767945E-4	2#2#2	1#1#1	3#3#3	4#4#4	3.16#3.16#3.16	2#2#2	6#6#6	96.0#96.0#97.0	93.93211364746094#93.93211364746094#93.838623046875	0#0#0	1#1#1	4#4#4	0#2#16	0#0#1	0#0#2	0#0#10	0#0#10	0#0#9	0#0#0	0#0#0	0#0#0	17477.3#17477.3#18407.977	970.9612#970.9612#1022.66534	496.3128#496.3128#505.317	0.16543761#0.16543761#0.168439	35.214287#35.214287#36.428574	remove.json
4	6	0.42734214663505554	0.7679034314178096	1	1	2	2	2.75	1	1	27.0	117.05393981933594	0	0	0	0	0	0	0	0	0	0	0	0	1076.0245	59.77914	110.361496	0.036787163	9.75	getResources.json
126	3#3#3#3#3#3#3#3#3#3#3#3#3#3#3	0.8450360894203186#0.6856017112731934#0.6892410516738892#0.3407636284828186#0.3407636284828186#0.6256973147392273#0.498454749584198#0.498454749584198#0.5526913404464722#0.691924512386322#0.691924512386322#0.691924512386322#0.6713354587554932#0.6713354587554932#0.7128064632415771	0.8696633906971318#0.8111168728588165#0.790919296782705#0.817611366032492#0.817611366032492#0.8595011318913951#0.8380509520041844#0.8380509520041844#0.8485457625125186#0.9029571227890544#0.9029571227890544#0.9029571227890544#0.8932202454504176#0.8932202454504176#0.8653005757204195	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89#1.89	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#1#2#1#1#1#1#1#1#1#1#1#1#1#1	15.0#18.0#19.0#17.0#17.0#15.0#15.0#15.0#15.0#14.0#14.0#14.0#14.0#14.0#15.0	131.9385528564453#130.85629272460938#130.57513427734375#131.28770446777344#131.28770446777344#132.086669921875#132.086669921875#132.086669921875#132.086669921875#132.61029052734375#132.61029052734375#132.61029052734375#132.61029052734375#132.61029052734375#132.086669921875	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#1#1#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#1#1#2#4#5#5#5#11#20#20#27#81#82#118	0#2#1#2#0#1#1#0#1#2#0#0#1#0#1	0#4#2#4#0#2#2#0#2#4#0#0#2#0#2	0#41#6#34#0#5#5#0#9#18#0#0#7#0#10	0#41#6#34#0#5#5#0#9#18#0#0#7#0#10	0#3#3#3#0#3#3#2#6#8#3#0#6#5#9	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#1#0#0#0#0#0#0#0#0#0	0#0#0#0#0#1#0#0#0#0#0#0#0#0#0	285.55164#562.5922#723.75146#388.35022#388.35022#305.2863#305.2863#305.2863#305.2863#250.94739#250.94739#250.94739#250.94739#250.94739#305.2863	15.863979#31.255123#40.208416#21.575012#21.575012#16.96035#16.96035#16.96035#16.96035#13.941522#13.941522#13.941522#13.941522#13.941522#16.96035	57.110325#70.32403#74.23092#64.72504#64.72504#55.506596#55.506596#55.506596#55.506596#50.189476#50.189476#50.189476#50.189476#50.189476#55.506596	0.019036775#0.023441343#0.024743639#0.021575011#0.021575011#0.018502198#0.018502198#0.018502198#0.018502198#0.016729826#0.016729826#0.016729826#0.016729826#0.016729826#0.018502198	5.0#8.0#9.75#6.0#6.0#5.5#5.5#5.5#5.5#5.0#5.0#5.0#5.0#5.0#5.5	parentsCount.json
23	9#9#9#9	0.025541696697473526#0.01886153407394886#0.018641673028469086#0.03613996133208275	0.022336212164592174#0.013034742210497545#0.010084133180572535#0.027569835957687295	0#0#0#0	0#0#0#0	0#0#0#0	2#2#2#2	2.95#2.95#2.95#2.95	1#1#1#1	6#6#6#6	59.0#61.0#62.0#58.0	105.4704360961914#105.2471923828125#105.11478424072266#105.559326171875	0#0#0#0	2#2#2#2	1#1#1#1	0#2#15#19	0#1#1#1	0#2#2#2	0#10#10#21	0#10#10#21	0#5#9#6	0#0#0#0	0#0#0#0	0#0#0#0	5066.3643#5077.061#5456.0#5478.543	281.4647#282.05896#303.1111#304.3635	289.50653#302.206#310.0#284.59964	0.09650218#0.10073533#0.10333333#0.094866544	17.5#16.800001#17.6#19.25	getStringAsInteger.json
33	3#3#3	0.54378342628479#0.5774950981140137#0.5774950981140137	0.9199933182428196#0.8824542505746059#0.8824542505746059	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	1#1#1	14.0#15.0#15.0	132.79563903808594#132.25152587890625#132.25152587890625	0#0#0	0#0#0	0#0#0	0#9#11	0#1#0	0#2#0	0#7#0	0#7#0	0#3#0	0#0#0	0#0#0	0#0#0	217.9442#268.8722#268.8722	12.108011#14.937344#14.937344	48.432045#53.77444#53.77444	0.016144015#0.017924814#0.017924814	4.5#5.0#5.0	getColor.json
119	7#7#7#7#7	0.009437328204512596#0.008990460075438023#0.00848244596272707#0.00848244596272707#0.008990460075438023	0.0096640572476998#0.008805801442911867#0.011445593049287092#0.011445593049287092#0.008805801442911867	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.81#1.81#1.81#1.81#1.81	0#0#0#0#0	6#6#6#6#6	57.0#57.0#56.0#56.0#57.0	110.0031509399414#110.0031509399414#110.14966583251953#110.14966583251953#110.0031509399414	0#0#0#0#0	2#2#2#2#2	2#2#2#2#2	0#6#16#16#116	0#4#1#0#1	0#8#2#0#2	0#32#7#0#7	0#32#7#0#7	0#3#5#0#3	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	4208.955#4208.955#3876.6514#3876.6514#4208.955	233.83084#233.83084#215.36952#215.36952#233.83084	276.90494#276.90494#269.21188#269.21188#276.90494	0.092301644#0.092301644#0.089737296#0.089737296#0.092301644	15.2#15.2#14.400001#14.400001#15.2	insert.json
48	5#5#5#3#3	0.0042028892785310745#0.0057183667086064816#8.510523475706577E-4#1.620045950403437E-4#0.0	0.008178910730159241#0.007950440513829623#0.0035694052536518507#0.16518087485664407#0.11283557607890626	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.96#1.96#1.96#1.89#1.89	0#0#0#0#0	7#7#7#3#3	55.0#55.0#59.0#33.0#35.0	115.69420623779297#115.69420623779297#115.27467346191406#127.17938995361328#126.78941345214844	0#0#0#0#0	0#0#0#0#0	2#2#2#0#0	0#11#13#24#25	0#2#3#1#1	0#4#6#4#2	0#16#52#200#23	0#16#52#200#23	0#2#2#7#9	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	3907.311#3907.311#4356.637#1497.5481#1537.311	217.07283#217.07283#242.0354#83.19711#85.406166	264.4045#264.4045#286.62088#142.62363#153.73111	0.08813484#0.08813484#0.09554029#0.04754121#0.051243704	14.777778#14.777778#15.2#10.5#10.0	getChannelGraphLegend.json
99	9#9#9#9#9	0.034352295100688934#0.029848279431462288#0.034352295100688934#0.017124224454164505#0.01690523698925972	0.008530574877908082#0.008222631924603015#0.008165590744236758#0.0023728620475818598#0.0023067597190972993	1#1#1#1#1	1#1#1#1#1	2#2#2#2#2	3#3#3#3#3	3.66#3.66#3.66#3.66#3.66	2#2#2#2#2	7#7#7#9#9	64.0#64.0#64.0#70.0#70.0	104.76754760742188#104.76754760742188#104.76754760742188#104.2077407836914#104.2077407836914	0#0#0#0#0	1#1#1#1#1	2#2#2#2#2	0#0#40#54#71	0#3#3#3#2	0#6#6#6#4	0#32#3#38#24	0#32#3#38#24	0#4#1#6#3	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	7609.6455#7609.6455#7609.6455#9180.797#9180.797	422.7581#422.7581#422.7581#510.04428#510.04428	317.06857#317.06857#317.06857#353.10757#353.10757	0.105689526#0.105689526#0.105689526#0.11770252#0.11770252	24.0#24.0#24.0#26.0#26.0	getStrength.json
101	17#13#12#3#3	0.2807385325431824#0.4061448574066162#0.38421300053596497#0.6036869883537292#0.6532359719276428	0.04347551198619523#0.620184009287084#0.011782477815528072#0.7690978935439526#0.7205752091209606	3#2#2#0#0	3#2#3#0#0	6#4#5#0#0	5#4#3#1#1	4.65#3.69#3.82#1.89#1.89	3#2#2#0#0	5#2#1#2#2	78.0#50.0#69.0#19.0#19.0	92.927978515625#100.20046997070312#99.62211608886719#130.70933532714844#130.57513427734375	0#0#0#0#0	0#0#1#1#1	4#2#3#0#0	0#0#1#2#73	0#9#8#1#2	0#22#17#11#4	0#244#211#288#24	0#244#211#288#24	0#1#1#2#3	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	9360.0#4643.8564#9745.77#651.0577#723.75146	520.0#257.99203#541.43164#36.169872#40.208416	390.0#232.19281#348.0632#72.339745#74.23092	0.13#0.0773976#0.11602107#0.024113249#0.024743639	24.0#20.0#28.0#9.0#9.75	getCount.json
48	5#5#5#3#3	0.0042028892785310745#0.0057183667086064816#6.88542437274009E-4#1.2590180267579854E-4#0.0	0.008178910730159241#0.007950440513829623#0.0034950350425470727#0.16169600409809834#0.11216280941034652	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.96#1.96#1.96#1.89#1.89	0#0#0#0#0	7#7#7#3#3	55.0#55.0#59.0#33.0#35.0	115.69420623779297#115.69420623779297#115.27467346191406#127.17938995361328#126.78941345214844	0#0#0#0#0	0#0#0#0#0	2#2#2#0#0	0#11#13#24#25	0#2#3#1#1	0#4#6#4#2	0#16#46#197#23	0#16#46#197#23	0#2#2#7#9	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	3907.311#3907.311#4356.637#1497.5481#1537.311	217.07283#217.07283#242.0354#83.19711#85.406166	264.4045#264.4045#286.62088#142.62363#153.73111	0.08813484#0.08813484#0.09554029#0.04754121#0.051243704	14.777778#14.777778#15.2#10.5#10.0	getTimeGraphLegend.json
24	3#3	0.8451449871063232#0.8451449871063232	0.9212690411688798#0.9212690411688798	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#2	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getGraphView.json
24	6#6#6	0.02004670538008213#0.02004670538008213#0.02333107776939869	0.10215684811190193#0.10215684811190193#0.08143200597391936	2#2#2	1#1#1	3#3#3	2#2#2	2.75#2.75#2.75	1#1#1	3#3#3	44.0#44.0#45.0	113.91724395751953#113.91724395751953#113.73401641845703	0#0#0	2#2#2	0#0#0	0#2#16	0#0#1	0#0#2	0#0#10	0#0#10	0#0#9	0#0#0	0#0#0	0#0#0	3833.0286#3833.0286#4179.4707	212.94603#212.94603#232.19281	201.73834#201.73834#208.97353	0.06724612#0.06724612#0.06965784	19.0#19.0#20.0	add.json
115	5#5#4#4#5#3#3	0.016002094373106956#0.016087185591459274#0.0015100857708603144#0.0016642727423459291#0.004526714328676462#0.0025646695867180824#0.0012224256061017513	0.040466551302727305#0.04037154489918814#0.021590121622243462#0.022051541196157112#0.007283845775313189#0.2395088505074119#0.18041182078485468	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1.96#1.96#2.0#2.0#1.96#1.89#1.89	0#0#0#0#0#0#0	5#5#6#6#7#3#3	45.0#45.0#47.0#47.0#55.0#29.0#31.0	116.85465240478516#116.85465240478516#120.30642700195312#120.30642700195312#115.69420623779297#127.8512954711914#127.42049407958984	0#0#0#0#0#0#0	1#1#0#0#0#0#0	1#1#1#1#2#0#0	0#0#1#9#12#91#92	0#1#3#2#1#1#1	0#2#7#4#1#4#2	0#3#67#7#48#192#23	0#3#67#7#48#192#23	0#6#2#8#2#7#9	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	2855.517#2855.517#2782.8306#2782.8306#3907.311#1023.57654#1089.2947	158.63983#158.63983#154.6017#154.6017#217.07283#56.865364#60.516373	211.51979#211.51979#218.26123#218.26123#264.4045#125.335915#136.16183	0.070506595#0.070506595#0.07275374#0.07275374#0.08813484#0.04177864#0.04538728	13.5#13.5#12.75#12.75#14.777778#8.166666#8.0	getGroupBy.json
