Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
4322	3	0.8237701058387756	0.9185051435704974	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getJiraVersion.json
1581	9#9	9.097002330236137E-4#9.57977375946939E-4	3.463802285644614E-4#2.415795247440557E-4	0#0	0#0	0#0	1#1	1.89#1.89	0#0	20#20	82.0#83.0	103.89094543457031#103.78194427490234	0#0	0#1	0#0	0#1456	0#2	0#4	0#39	0#39	0#173	0#0	0#0	0#0	6314.0#6280.2705	350.77777#348.90393	410.0#418.6847	0.13666667#0.13956156	15.4#15.0	before.json
3328	21#21	0.0011121822753921151#0.0011121822753921151	4.692150543257657E-9#4.814488252379338E-9	5#5	3#3	8#8	7#7	8.52#8.52	6#6	13#13	155.0#155.0	84.65033721923828#84.65033721923828	0#0	4#4	6#6	0#1401	0#3	0#6	0#8	0#8	0#55	0#0	0#0	0#0	42902.387#42902.387	2383.4658#2383.4658	907.98706#907.98706	0.30266234#0.30266234	47.25#47.25	addJobIdsFromChangeLog.json
748	8#8	3.639222413767129E-4#3.4571511787362397E-4	4.082650232143852E-5#5.4879733672939466E-5	0#0	0#0	0#0	1#1	1.94#1.94	0#0	5#5	85.0#84.0	105.43840026855469#105.54097747802734	0#0	0#0	2#2	0#623	0#1	0#2	0#7	0#7	0#173	0#0	0#0	0#0	7367.143#6843.067	409.28574#380.17038	439.44363#430.85977	0.14648122#0.14361992	16.764706#15.882353	baseApiPath.json
12	7	0.0024736104533076286	6.559316111141175E-4	0	0	0	1	1.98	0	15	68.0	108.84556579589844	0	0	0	0	0	0	0	0	0	0	0	0	5765.792	320.32178	345.94748	0.115315825	16.666668	shouldReturnIfVersionNotFound.json
3623	10#10#10#10#10	0.05891435220837593#0.06856168806552887#0.02264237031340599#0.02395429089665413#0.005004029255360365	2.1996137012647652E-4#2.277223147976926E-4#9.391962290243762E-5#8.981169434094756E-5#6.207254960858444E-6	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	2#2#2#2#2	2.99#2.99#2.99#2.99#2.99	1#1#1#1#1	8#8#8#8#11	79.0#79.0#83.0#83.0#95.0	101.6600112915039#101.6600112915039#101.37322998046875#101.37322998046875#100.53275299072266	0#0#0#0#0	1#1#1#1#1	2#2#2#2#2	0#185#468#1696#1732	0#1#1#1#1	0#2#2#2#2	0#7#16#5#67	0#7#16#5#67	0#15#14#55#31	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	8243.271#8243.271#9025.845#9025.845#11361.395	457.95953#457.95953#501.43582#501.43582#631.1886	433.8564#433.8564#458.45563#458.45563#538.8804	0.14461881#0.14461881#0.15281855#0.15281855#0.1796268	19.0#19.0#19.6875#19.6875#21.083334	getAvailableActions.json
2597	4	0.5405512452125549	0.7989254718287888	0	0	0	1	1.73	0	0	17.0	126.37059020996094	0	0	0	0	0	0	0	0	0	0	0	0	442.0	24.555555	68.0	0.022666667	6.5	isSuccessful.json
2273	4	0.2490808218717575	0.7878834225350658	0	0	0	1	1.73	0	0	18.0	126.19583892822266	0	1	0	0	0	0	0	0	0	0	0	0	914.21234	50.789574	70.32403	0.023441343	13.0	setRecordScmChanges.json
5110	3#3#3#4	0.21372616291046143#0.21372616291046143#0.09776753932237625#0.15969504415988922	0.34987487374013787#0.3526672131811845#0.2393209868965037#0.2510881207896771	2#2#2#2	1#1#1#1	3#3#3#3	2#2#2#2	1.89#1.89#1.89#1.73	0#0#0#0	2#2#3#3	28.0#28.0#31.0#32.0	127.80377197265625#127.80377197265625#127.19049072265625#122.28609466552734	0#0#0#0	1#1#1#1	0#0#0#0	0#1597#1665#4392	0#1#1#1	0#2#2#1	0#3#11#10	0#3#11#10	0#7#4#42	0#0#0#0	0#0#1#0	0#1#1#0	1452.1678#1452.1678#1736.0634#1926.4745	80.675995#80.675995#96.44797#107.02636	121.013985#121.013985#136.16183#142.70181	0.040337995#0.040337995#0.04538728#0.04756727	12.0#12.0#12.75#13.5	resolve.json
2694	6#6#6	0.028186043724417686#0.025459403172135353#0.023814959451556206	0.020989390757199772#0.020898865994945982#0.027399055052501963	0#0#0	0#0#0	0#0#0	1#1#1	2.0#2.0#2.0	0#0#0	4#4#4	51.0#51.0#50.0	113.02667236328125#113.02667236328125#113.1817398071289	0#0#0	0#0#0	2#2#2	0#430#2569	0#1#1	0#2#2	0#4#7	0#4#7	0#64#173	0#0#0	0#0#0	0#0#0	5344.655#5344.655#4962.081	296.92526#296.92526#275.67117	250.2514#250.2514#242.89906	0.08341713#0.08341713#0.08096635	21.357141#21.357141#20.428572	setLabelsPersists.json
3828	3	0.521064817905426	0.8361610489754994	0	0	0	1	1.89	0	0	17.0	131.28770446777344	0	1	0	0	0	0	0	0	0	0	0	0	776.70044	43.150024	64.72504	0.021575011	12.0	setJiraRelease.json
3429	3	0.7042068839073181	0.9263043245499742	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getDateTimePattern.json
2273	3	0.7210313081741333	0.9258392374254037	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getRoleVisibility.json
2032	6#3	0.0#0.0	5.589317746578502E-7#2.3728206542830077E-5	3#1	2#1	5#2	3#2	2.75#1.89	1#0	12#7	101.0#76.0	108.36882019042969#121.46080017089844	0#0	3#3	0#0	0#208	0#1	0#5	0#201	0#201	0#63	0#0	0#1	0#1	17191.057#8114.3594	955.0587#450.79773	561.0135#409.8161	0.18700449#0.13660537	30.642857#19.800001	findCredentials.json
2464	5	0.8108449578285217	0.7889886098373294	0	0	0	1	1.96	0	0	23.0	121.18380737304688	0	0	1	0	0	0	0	0	0	0	0	0	828.0	46.0	92.0	0.030666666	9.0	getPasswordAndReset.json
6668	3	0.7941080331802368	0.8438021177016739	0	0	0	1	1.89	0	1	15.0	132.086669921875	0	0	0	0	0	0	0	0	0	0	0	0	305.2863	16.96035	55.506596	0.018502198	5.5	getName.json
3542	5	0.03161533176898956	0.03655999197606068	0	0	0	1	1.96	0	3	45.0	117.0541000366211	0	1	2	0	0	0	0	0	0	0	0	0	3489.6047	193.86693	203.56029	0.06785343	17.142857	getBuildName.json
2854	8#8#8#8#8	0.0#0.0#0.0#0.0#0.0	2.9015479490883995E-7#2.0428533796308773E-6#2.033195549861297E-6#2.2493690021989674E-5#2.9820547029157214E-5	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.94#1.94#1.94#1.94#1.94	0#0#0#0#0	15#15#15#15#15	108.0#100.0#100.0#88.0#87.0	103.84904479980469#104.3742904663086#104.3742904663086#105.10735321044922#105.20259094238281	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	0#586#590#999#2729	0#1#1#2#1	0#2#2#4#2	0#12#5#54#7	0#12#5#54#7	0#51#64#39#173	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	16657.363#13231.918#13231.918#9288.537#8794.248	925.40906#735.10657#735.10657#516.02985#488.56934	596.5447#539.23175#539.23175#468.32965#459.83	0.19884823#0.17974392#0.17974392#0.15610988#0.15327667	27.923077#24.538462#24.538462#19.833332#19.125	performProgressFails.json
12	15#15	0.0#0.0	5.0480410723876145E-14#1.0322215676539822E-13	0#0	0#0	0#0	1#1	1.6#1.6	0#0	25#25	190.0#188.0	90.25958251953125#90.35293579101562	0#0	0#0	6#6	0#0	0#1	0#2	0#22	0#22	0#12	0#1	0#1	0#1	47229.383#49529.453	2623.8545#2751.6362	1148.4348#1128.0	0.3828116#0.376	41.125#43.90909	shouldAddVersionWhenNoFixVersions.json
2536	8	0.5456073880195618	0.5939277306904551	1	1	2	3	3.87	2	2	37.0	109.99791717529297	0	1	1	0	0	0	0	0	0	0	0	0	1896.8805	105.38225	167.3718	0.0557906	11.333334	bypassProxy.json
3558	3	0.8398937582969666	0.9040750483425715	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getBaseApiPath.json
1891	9#6#6	0.02778012678027153#0.03289683535695076#0.0299279373139143	6.038647648770769E-4#0.013659383093674283#0.011441826647051033	0#0#0	0#0#0	0#0#0	1#1#1	1.89#2.0#2.0	0#0#0	12#5#5	75.0#50.0#51.0	104.2647705078125#113.03189849853516#112.92892456054688	0#0#0	0#0#1	2#1#1	0#36#1766	0#2#1	0#7#2	0#188#20	0#188#20	0#39#173	0#0#0	0#0#0	0#0#0	7419.217#3025.0#3366.0002	412.1787#168.05556#187.00002	381.55972#250.0#255.0	0.12718658#0.083333336#0.085	19.444445#12.1#13.200001	noProjectProperty.json
1	13	0.0033583631739020348	2.1249848192284494E-7	0	0	0	2	2.98	1	17	122.0	95.09086608886719	0	1	2	0	0	0	0	0	0	0	0	0	17348.092	963.7829	677.65985	0.22588661	25.6	withJiraStaticMocks.json
2597	4	0.7146260142326355	0.8801445490032452	0	0	0	1	1.73	0	0	16.0	126.80831146240234	0	0	0	0	0	0	0	0	0	0	0	0	375.0615	20.83675	62.51025	0.02083675	6.0	getContentLength.json
2596	10#10#10#10#10	1.3834038691129535E-4#1.3512518489733338E-4#1.3332119851838797E-4#1.3332119851838797E-4#2.488568425178528E-4	4.5642032339171675E-8#7.4788643074472E-8#8.39243836724916E-8#8.39243836724916E-8#1.4395568636598443E-7	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.83#1.83#1.83#1.83#1.83	0#0#0#0#0	12#12#12#12#12	120.0#118.0#118.0#118.0#115.0	99.60113525390625#99.71615600585938#99.74451446533203#99.74451446533203#99.87842559814453	0#0#0#0#0	0#0#0#0#1	3#3#3#3#3	0#328#741#1878#2471	0#1#1#0#3	0#2#2#0#6	0#17#8#0#34	0#17#8#0#34	0#51#39#42#173	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	17755.695#16824.535#16193.26#16193.26#15217.938	986.4275#934.6964#899.62555#899.62555#845.44104	673.7652#659.0256#655.44147#655.44147#638.7777	0.2245884#0.2196752#0.21848048#0.21848048#0.2129259	26.352942#25.529411#24.705883#24.705883#23.823528	simple_get_with_proxy.json
2597	6	0.2943590581417084	0.5384256169471154	0	0	0	1	2.0	0	2	30.0	116.36201477050781	0	2	0	0	0	0	0	0	0	0	0	0	1680.0613	93.33674	131.76952	0.043923173	12.75	setEntityStream.json
1211	5#5	0.6831712126731873#0.6831712126731873	0.7871782450430972#0.7814480342066276	0#0	0#0	0#0	1#1	1.6#1.6	0#0	1#1	19.0#19.0	122.0648193359375#122.0648193359375	0#0	0#0	0#0	0#811	0#1	0#2	0#1	0#1	0#4	0#0	0#0	0#0	504.80167#504.80167	28.044537#28.044537	77.6618#77.6618	0.025887266#0.025887266	6.5#6.5	getApplicationFileEncoding.json
3328	16#16#16	0.007023456506431103#0.00643512699753046#0.00643512699753046	3.9364755241850807E-7#3.8547573988372534E-7#3.91368676705954E-7	3#3#3	3#3#3	6#6#6	5#5#5	5.61#5.61#5.61	4#4#4	11#11#11	126.0#126.0#126.0	90.84099578857422#90.84099578857422#90.84099578857422	0#0#0	4#4#4	4#4#4	0#346#1401	0#1#1	0#2#2	0#9#3	0#9#3	0#4#55	0#0#0	0#0#0	0#0#0	20900.045#20900.045#20900.045	1161.1136#1161.1136#1161.1136	703.70526#703.70526#703.70526	0.23456842#0.23456842#0.23456842	29.699999#29.699999#29.699999	addIssuesCarriedOverFromPreviousBuild.json
1211	5#5	0.5536110401153564#0.5536110401153564	0.7411133214885539#0.736308972973479	0#0	0#0	0#0	1#1	1.6#1.6	0#0	1#1	20.0#20.0	121.69422912597656#121.69422912597656	0#0	0#0	0#0	0#811	0#1	0#2	0#1	0#1	0#4	0#0	0#0	0#0	625.4888#625.4888	34.749374#34.749374	83.398506#83.398506	0.027799502#0.027799502	7.5#7.5	getSharedHomeDirectory.json
4691	27#24#26#26#26#24#24#21#21#23#28#28	3.7612480809912086E-4#0.002550155157223344#0.0027601229958236217#0.0026068994775414467#0.0027303441893309355#0.010057952255010605#0.010649709962308407#0.031791090965270996#0.03693147003650665#0.015590877272188663#0.002662505256012082#0.002660521538928151	1.2536008841770518E-4#3.060482304174127E-7#1.884599690293906E-7#1.5973505346711686E-7#1.1412621751769341E-8#7.975018881955429E-7#7.993653516947517E-7#6.777371132015228E-5#6.308490575376073E-5#1.150634618369513E-6#4.563393534069078E-9#4.4726090436427175E-9	4#3#3#4#4#4#4#4#4#4#6#6	4#3#4#4#4#4#4#4#4#4#6#6	8#6#7#8#8#8#8#8#8#8#12#12	8#7#8#8#8#7#7#6#6#6#8#8	8.44#7.23#7.1#7.1#7.1#7.36#7.36#4.67#4.67#4.56#4.28#4.28	6#5#5#5#5#5#5#3#3#3#3#3	12#10#10#10#10#8#8#6#7#8#10#10	124.0#144.0#150.0#151.0#161.0#137.0#137.0#113.0#114.0#133.0#167.0#167.0	81.81505584716797#82.98666381835938#81.22327423095703#81.188720703125#80.74110412597656#83.15135955810547#83.15135955810547#86.82939910888672#86.78358459472656#84.27105712890625#79.28742218017578#79.28742218017578	0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1	5#5#5#5#5#5#5#5#5#6#8#8	0#0#968#1023#1068#1069#1128#2155#2439#2867#3480#4551	0#1#2#1#2#0#1#10#1#5#7#1	0#5#2#2#4#2#2#23#2#8#9#2	0#166#38#8#61#134#4#256#25#110#174#2	0#166#38#8#61#134#4#256#25#110#174#2	0#4#1#1#41#23#3#24#27#63#5#2	0#0#0#0#0#0#0#0#0#0#0#0	0#0#1#0#0#0#0#0#1#1#0#0	0#0#0#0#0#0#0#0#1#1#0#0	21134.727#29519.895#32598.412#31022.871#28249.244#19945.684#19945.684#13748.0#14692.674#21786.09#34636.555#34636.555	1174.1515#1639.9941#1811.023#1723.4928#1569.4025#1108.0935#1108.0935#763.7778#816.25964#1210.3384#1924.253#1924.253	684.9217#824.82056#863.23315#868.98804#947.1055#799.10596#799.10596#624.1625#629.68604#768.92084#994.3508#994.3508	0.22830723#0.2749402#0.28774437#0.2896627#0.31570184#0.26636866#0.26636866#0.20805416#0.20989534#0.25630695#0.33145028#0.33145028	30.857143#35.789474#37.76316#35.699997#29.826923#24.96#24.96#22.026316#23.333332#28.333332#34.833336#34.833336	findMailAddressFor.json
2019	5#5	0.06515782326459885#0.0603291392326355	0.13618724557630546#0.1728415084105682	0#0	0#0	0#0	1#1	1.96#1.96	0#0	2#2	37.0#36.0	118.07197570800781#118.2886962890625	0#0	0#0	1#1	0#1894	0#1	0#2	0#7	0#7	0#173	0#0	0#0	0#0	2104.1025#1892.0731	116.894585#105.11517	167.3718#160.53954	0.0557906#0.053513177	12.571428#11.785714	testAltSummaryResultMissingFieldIgnored.json
2266	4	0.15139330923557281	0.9336370188761955	0	0	0	1	1.73	0	0	13.0	128.335205078125	0	0	0	0	0	0	0	0	0	0	0	0	233.02258	12.945699	46.604515	0.015534839	5.0	getExtendedVersionRestClient.json
2273	4	0.25476276874542236	0.6304500853774863	0	0	0	1	1.73	0	1	22.0	124.91740417480469	0	1	0	0	0	0	0	0	0	0	0	0	1049.1155	58.284195	89.92419	0.029974729	11.666666	setGroupVisibility.json
2273	3	0.7412324547767639	0.8945499239082464	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	isUseHTTPAuth.json
2597	3#3	0.0027896801475435495#0.002313553588464856	0.38155080084607024#0.3822634464284547	0#0	0#0	0#0	1#1	1.89#1.89	0#0	1#1	25.0#25.0	128.91311645507812#128.91311645507812	0#0	2#2	0#0	0#287	0#1	0#2	0#1	0#1	0#1	0#0	0#1	0#1	858.3671#858.3671	47.68706#47.68706	102.18657#102.18657	0.034062188#0.034062188	8.4#8.4	getPomFilePath.json
3316	3	0.8675475716590881	0.9294644870284917	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getIssueKeys.json
2597	13	0.001352546620182693	1.008454091408087E-6	1	1	2	3	2.22	1	16	112.0	95.19641876220703	0	1	5	0	0	0	0	0	0	0	0	0	28652.557	1591.8087	635.31165	0.21177055	45.100002	translate.json
1855	3#3	0.0#0.0	0.0027598977573263204#0.0014011904550461408	1#1	1#1	2#2	2#2	1.89#1.89	0#0	6#6	57.0#61.0	123.61091613769531#123.25823974609375	0#0	1#2	0#0	0#1730	0#1	0#2	0#15	0#15	0#173	0#0	0#0	0#0	6165.9004#7613.764	342.55002#422.9869	271.0286#290.04816	0.090342864#0.09668272	22.75#26.25	createFolder.json
3433	5#5#6#6#6#6	0.6549133658409119#0.6822464466094971#0.6283533573150635#0.6038984060287476#0.5897950530052185#0.25544679164886475	0.03313270740211295#0.03292495276730756#0.03768809967959324#0.3081618053064504#0.30975556626040374#0.2973909938221657	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.96#1.96#1.89#1.89#1.89#1.89	0#0#0#0#0#0	2#2#2#2#2#3	43.0#43.0#44.0#33.0#33.0#33.0	116.91962432861328#116.91962432861328#113.79438018798828#115.86640167236328#115.86640167236328#115.86640167236328	0#0#0#0#0#0	0#0#0#0#0#0	2#2#2#1#1#1	0#2#4#897#1169#3308	0#1#1#2#1#3	0#2#1#4#2#6	0#18#16#80#5#102	0#18#16#80#5#102	0#18#19#24#64#173	0#0#0#0#0#0	0#0#0#0#0#0	0#1#0#0#0#0	2626.086#2626.086#2837.5847#1268.2816#1268.2816#1540.0563	145.89366#145.89366#157.6436#70.46009#70.46009#85.558685	208.89319#208.89319#215.90318#144.94647#144.94647#144.94647	0.06963106#0.06963106#0.07196773#0.04831549#0.04831549#0.04831549	12.571429#12.571429#13.142858#8.75#8.75#10.625	getChangesUsingReflectionForunknownJob.json
4382	10#10#11#11#11#11#12	0.2809653580188751#0.039289772510528564#0.05708901956677437#0.04259056597948074#0.0616171695291996#0.0616171695291996#0.07837716490030289	0.062373686794804845#0.005491893515726162#0.007193781821455709#0.006632444465473338#0.010463975963572557#0.010463975963572557#0.01130546978087091	3#3#3#3#3#3#3	3#3#3#3#3#3#3	6#6#6#6#6#6#6	3#3#3#3#3#3#3	2.99#2.99#2.86#2.86#2.86#2.86#3.04	1#1#1#1#1#1#1	3#5#5#6#4#4#4	56.0#67.0#68.0#69.0#66.0#66.0#67.0	103.91152954101562#102.72867584228516#101.10761260986328#101.07766723632812#101.3088150024414#101.3088150024414#99.77507019042969	0#0#0#0#0#0#0	2#2#2#2#2#2#2	0#0#0#0#0#0#0	0#0#93#812#814#1454#3664	0#1#2#1#1#0#1	0#2#3#2#2#0#1	0#59#8#7#37#0#10	0#59#8#7#37#0#10	0#1#16#1#7#6#42	0#0#0#0#0#0#0	0#1#0#0#0#0#0	0#1#0#0#0#0#0	6811.061#7921.275#8039.503#7762.5#6746.6665#6746.6665#7210.1206	378.39227#440.07083#446.63904#431.25#374.81482#374.81482#400.56226	269.21188#337.9744#343.0188#345.0#330.0#330.0#337.9744	0.089737296#0.112658136#0.1143396#0.115#0.11#0.11#0.112658136	25.300001#23.4375#23.4375#22.5#20.444445#20.444445#21.333334	convert.json
1	14	0.0012544466881081462	2.9138053499079205E-5	0	0	0	2	3.92	2	4	101.0	95.02677154541016	0	0	3	0	0	0	0	0	0	0	0	0	17616.492	978.69403	544.624	0.18154134	32.346153	showUnreleasedArchivedVersions.json
1	6	0.24097581207752228	0.3222285377615129	0	0	0	1	2.0	0	2	37.0	115.35547637939453	0	0	2	0	0	0	0	0	0	0	0	0	1865.6321	103.646225	159.91133	0.05330378	11.666666	nullResultCompare.json
2252	4#4#4	0.1757027804851532#0.1855960637331009#0.1855960637331009	0.5560757476050382#0.5779025992840889#0.5712831645366107	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.73#1.73	0#0#0	2#2#2	25.0#25.0#25.0	124.1488037109375#124.25267028808594#124.25267028808594	0#0#0	0#0#0	0#0#0	0#361#1014	0#1#1	0#2#2	0#8#1	0#8#1	0#31#10	0#0#0	0#0#0	0#0#0	781.86096#715.30597#715.30597	43.43672#39.73922#39.73922	104.24813#102.18657#102.18657	0.034749378#0.034062188#0.034062188	7.5#7.0#7.0	get.json
2597	10#5#7#7	0.6328564882278442#0.4450156092643738#0.4289279282093048#0.4372006952762604	0.7265401806655397#0.4949407696218989#0.23408054108897614#0.23011306999318107	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	3.92#1.96#1.98#1.98	1#0#0#0	2#2#4#4	40.0#30.0#40.0#40.0	106.5118408203125#119.48943328857422#112.14561462402344#112.14561462402344	0#0#0#0	0#0#0#0	1#1#1#1	0#158#721#1211	0#1#2#1	0#8#2#2	0#89#62#10	0#89#62#10	0#43#10#15	0#0#0#0	0#1#0#0	0#1#0#0	2006.7441#1359.3369#1925.6842#1925.6842	111.48579#75.518715#106.98245#106.98245	178.37726#127.43783#183.3985#183.3985	0.059459087#0.042479277#0.061132833#0.061132833	11.25#10.666667#10.5#10.5	doCancelled.json
4422	32#16#16#14#14#14#14	0.0#6.132239359430969E-4#6.458928110077977E-4#5.367312114685774E-4#5.419132648967206E-4#8.024705457501113E-4#7.792867254465818E-4	8.508537584471018E-26#2.3331704326074934E-13#2.4526410661065267E-13#5.00813286222902E-12#4.9901980179788336E-12#7.462834035930645E-12#1.0334477087156424E-11	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	3.2#3.53#3.53#2.37#2.37#2.37#2.37	1#1#1#1#1#1#1	49#20#20#20#20#20#20	336.0#181.0#181.0#163.0#163.0#161.0#160.0	74.58714294433594#89.31010437011719#89.31010437011719#92.10176849365234#92.10176849365234#92.16596221923828#92.21600341796875	0#0#0#0#0#0#0	0#0#0#0#0#0#0	7#4#4#4#4#4#4	0#0#1569#1886#2158#2709#4297	0#5#3#5#1#1#1	0#27#6#13#2#2#2	0#899#37#128#5#5#7	0#899#37#128#5#5#7	0#1#9#19#64#7#173	0#0#0#0#0#0#0	0#0#0#0#0#1#0	0#0#0#0#0#1#0	144556.9#47351.484#47351.484#38297.8#38297.8#36882.195#35734.867	8030.9395#2630.638#2630.638#2127.6555#2127.6555#2049.0107#1985.2704	2207.4714#1127.4163#1127.4163#999.0731#999.0731#986.8146#977.3639	0.7358238#0.3758054#0.3758054#0.33302438#0.33302438#0.3289382#0.32578796	65.48529#42.0#42.0#38.333332#38.333332#37.375#36.5625	alternativeURLAnnotate.json
3542	4	0.007086117751896381	0.029151078043818827	0	0	0	1	2.0	0	4	43.0	120.8353271484375	0	1	1	0	0	0	0	0	0	0	0	0	4140.221	230.01228	197.15338	0.065717794	21.0	getBuildDetailsString.json
2597	4	0.8546423316001892	0.8880834044058854	0	0	0	1	1.73	0	1	14.0	127.78498840332031	0	0	0	0	0	0	0	0	0	0	0	0	310.83694	17.268719	51.806156	0.01726872	6.0	delete.json
2597	4	0.5306523442268372	0.8095874004020974	0	0	0	1	1.73	0	0	17.0	126.37059020996094	0	0	0	0	0	0	0	0	0	0	0	0	442.0	24.555555	68.0	0.022666667	6.5	isClientError.json
2694	4	0.7196663022041321	0.7609441257035264	0	0	0	1	1.73	0	0	18.0	126.19583892822266	0	0	0	0	0	0	0	0	0	0	0	0	421.94415	23.441341	70.32403	0.023441343	6.0	createChangeLogParser.json
4691	5	0.06257974356412888	0.350481603969844	0	0	0	1	1.96	0	4	36.0	118.7416000366211	0	1	0	0	0	0	0	0	0	0	0	0	2630.2825	146.1268	147.14867	0.049049556	17.875	unmaskEmail.json
2597	4	0.8771307468414307	0.8801063473788362	0	0	0	1	1.73	0	1	14.0	127.78498840332031	0	0	0	0	0	0	0	0	0	0	0	0	310.83694	17.268719	51.806156	0.01726872	6.0	trace.json
4801	3	0.7268920540809631	0.7893041656452922	0	0	0	1	1.89	0	1	16.0	131.60296630859375	0	0	0	0	0	0	0	0	0	0	0	0	335.04724	18.613735	60.91768	0.020305892	5.5	getJiraShowReleased.json
4713	6#6#7#7	0.0119463000446558#0.004601977299898863#7.97463464550674E-4#7.97463464550674E-4	0.07312683426613009#0.04320427685275576#0.0019919081424015#0.0021127340498263056	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	2.0#2.0#1.98#1.98	0#0#0#0	3#4#6#6	42.0#45.0#64.0#64.0	114.14285278320312#113.7296142578125#109.16081237792969#109.16081237792969	0#0#0#0	0#0#0#0	1#1#2#2	0#1181#1280#2786	0#1#2#1	0#2#3#2	0#20#77#3	0#20#77#3	0#5#23#55	0#0#0#0	0#0#0#0	0#1#0#0	2725.7703#3091.758#6349.154#6349.154	151.43169#171.76434#352.73077#352.73077	201.9089#218.60916#325.59763#325.59763	0.067302965#0.07286972#0.10853254#0.10853254	13.5#14.142857#19.5#19.5	endBuild.json
2273	6#6#6	0.7629695534706116#0.7629695534706116#0.750367283821106	0.8006056633356793#0.8006056633356793#0.8048301845953186	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	2#2#2	20.0#20.0#20.0	118.95695495605469#118.95695495605469#118.95695495605469	0#0#0	0#0#0	1#1#1	0#382#2148	0#0#1	0#0#2	0#0#7	0#0#7	0#31#173	0#0#0	0#0#0	0#0#0	480.0#480.0#480.0	26.666666#26.666666#26.666666	80.0#80.0#80.0	0.026666667#0.026666667#0.026666667	6.0#6.0#6.0	toUrlConvertsOnlyWhitespaceToNull.json
4801	3#3	0.7597604990005493#0.7597604990005493	0.9377579612252593#0.9377579612252593	0#0	0#0	0#0	1#1	1.89#1.89	0#0	0#0	12.0#12.0	133.59722900390625#133.59722900390625	0#0	0#0	0#0	0#1648	0#0	0#0	0#0	0#0	0#2	0#0	0#0	0#0	186.80931#186.80931	10.378295#10.378295	41.51318#41.51318	0.013837727#0.013837727	4.5#4.5	getReleaseDate.json
