Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
301	13	3.0384556157514453E-4	4.60056561821206E-10	0	0	0	1	1.69	0	19	145.0	94.19135284423828	0	0	4	0	0	0	0	0	0	0	0	0	31072.25	1726.2361	842.06647	0.28068882	36.899998	failToParseJson.json
301	8	9.397493558935821E-4	3.474901206993508E-5	0	0	0	1	1.94	0	13	86.0	105.26271057128906	0	0	2	0	0	0	0	0	0	0	0	0	13181.793	732.32184	454.5446	0.15151486	29.0	constructProducersForStageUsesFactory.json
301	12	0.1406477838754654	0.046274119172481615	0	0	0	2	2.56	1	6	61.0	100.63663482666016	0	0	2	0	0	0	0	0	0	0	0	0	5900.8867	327.82703	299.3203	0.09977344	19.714287	closeThrowsSameExceptionAsConsumerClose.json
301	8	0.009428603574633598	0.001136898715149185	0	0	0	1	1.94	0	12	67.0	106.67578125	0	0	1	0	0	0	0	0	0	0	0	0	6297.9087	349.88382	346.38498	0.11546166	18.181818	canMapString.json
0	7	1.3569837028626353E-4	2.343407928334197E-6	0	0	0	1	1.98	1	15	97.0	106.69588470458984	0	0	0	0	0	0	0	0	0	0	0	0	12422.55	690.14166	523.05475	0.17435159	23.75	singleThreadedExtractorUnrecoverableFailureOnClose.json
301	5#5	0.0012221236247569323#0.0011560156708583236	0.004640161544662824#0.004663453246337417	0#0	0#0	0#0	1#1	1.96#1.96	0#0	4#4	50.0#50.0	115.98551177978516#115.98551177978516	0#0	0#0	0#0	0#240	0#2	0#4	0#22	0#22	0#7	0#0	0#0	0#0	2250.0#2250.0	125.0#125.0	250.0#250.0	0.083333336#0.083333336	9.0#9.0	copyAndMergeThrowsResourceNotFoundOnNullConnection.json
301	7	0.23364362120628357	0.07523177550785963	0	0	0	1	1.98	0	7	46.0	111.28950500488281	0	0	0	0	0	0	0	0	0	0	0	0	2347.534	130.41855	216.22023	0.07207341	10.857143	closeClosesErrorConsumerEvenAfterARuntimeException.json
301	11	0.0	1.5488559693858117E-10	0	0	0	1	1.78	0	36	154.0	96.8158950805664	0	0	1	0	0	0	0	0	0	0	0	0	22374.23	1243.0128	855.4067	0.28513557	26.15625	constructConsumerForStageConstructsConsumer.json
301	8	0.008167814463376999	0.0010328921689826322	0	0	0	1	1.94	0	12	68.0	106.59874725341797	0	0	1	0	0	0	0	0	0	0	0	0	5976.433	332.02405	351.5549	0.11718497	17.0	canMapObject.json
301	5	0.058326683938503265	0.3739219988005298	0	0	0	1	1.96	0	6	32.0	119.35407257080078	0	0	0	0	0	0	0	0	0	0	0	0	1525.9861	84.77701	130.79881	0.043599606	11.666666	configureMockExecutorService.json
301	9#9	2.1385862783063203E-4#0.0	3.62777034715553E-8#1.0186713103808462E-8	0#0	0#0	0#0	1#1	1.89#1.89	0#0	22#24	122.0#128.0	101.36785888671875#101.0874252319336	0#0	0#0	1#1	0#301	0#3	0#6	0#135	0#135	0#41	0#0	0#1	0#0	22016.674#24986.932	1223.1486#1388.1628	666.05066#702.9572	0.22201689#0.23431908	33.055553#35.545452	produceCanHandleNonFatalExceptions.json
