Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2561	21#41#45	0.0#0.0#0.0	1.2714789601150456E-13#4.749438881602085E-25#2.3198722746784924E-26	0#0#1	0#0#1	0#0#2	1#1#2	1.17#2.35#2.32	0#1#1	29#57#60	222.0#366.0#385.0	84.52862548828125#70.47109985351562#68.41962432861328	0#0#0	2#2#2	10#15#15	0#1564#1564	0#37#5	0#54#6	0#1397#117	0#1397#117	0#4#4	0#0#0	0#0#0	0#0#0	44358.97#154055.25#181024.55	2464.3872#8558.625#10056.919	1211.9938#2250.8074#2390.6396	0.40399793#0.7502691#0.7968799	36.6#68.44444#75.72222	createServerSocket.json
4440	9#9#9#9#16#16#17#20#20#20#27#27#27#18	0.04037930443882942#0.04050936549901962#0.04050936549901962#0.04050936549901962#5.666898214258254E-4#5.806447006762028E-4#3.6376394564285874E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0	0.004006780762412962#0.004087439088520378#0.004087439088520378#0.004087439088520378#5.07619378708685E-9#4.447095510163652E-9#7.688732188675141E-10#9.520689322991267E-16#2.4356560386281336E-16#2.426506720079623E-16#2.3369621513226437E-21#8.565615678450334E-22#7.01483260822221E-22#7.623518131172549E-13	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1	1.89#1.89#1.89#1.89#1.56#1.56#1.52#1.43#1.43#1.43#1.26#1.26#1.26#1.49	0#0#0#0#0#0#0#0#0#0#0#0#0#0	9#9#9#9#23#24#26#31#31#31#48#48#48#29	67.0#67.0#67.0#67.0#147.0#148.0#158.0#226.0#231.0#231.0#297.0#301.0#301.0#197.0	105.03923034667969#105.03923034667969#105.03923034667969#105.03923034667969#90.9317855834961#90.89653015136719#89.521240234375#84.77505493164062#84.62141418457031#84.62141418457031#78.34203338623047#78.25513458251953#78.23809814453125#87.44811248779297	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	3#3#3#3#6#6#6#7#7#7#7#7#7#3	0#66#82#245#448#819#1059#2769#2780#2817#2928#3426#3481#4111	0#1#0#0#7#1#1#5#1#1#8#1#1#6	0#2#0#0#7#2#1#7#2#2#9#2#2#21	0#5#0#0#396#30#64#300#17#4#467#17#16#651	0#5#0#0#396#30#64#300#17#4#467#17#16#651	0#24#7#12#21#6#16#25#24#22#21#27#4#41	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	4931.425#4931.425#4931.425#4931.425#22527.537#23994.463#28427.713#53621.164#58061.348#58061.348#86832.94#86502.11#88714.51#33876.918	273.96805#273.96805#273.96805#273.96805#1251.5298#1333.0258#1579.3174#2978.9536#3225.6304#3225.6304#4824.0522#4805.673#4928.584#1882.051	328.76166#328.76166#328.76166#328.76166#825.36237#830.97705#896.24316#1345.6484#1386.0#1386.0#1820.3971#1851.0739#1857.1475#1117.4678	0.10958722#0.10958722#0.10958722#0.10958722#0.2751208#0.27699235#0.29874772#0.44854948#0.462#0.462#0.606799#0.6170246#0.61904913#0.37248924	15.0#15.0#15.0#15.0#27.294117#28.875#31.71875#39.847824#41.891304#41.891304#47.699997#46.73077#47.769234#30.31579	getMaxInactiveInterval.json
4374	6#6#6#6#6	0.049218643456697464#0.02945900522172451#0.02945900522172451#0.02945900522172451#0.031073851510882378	0.07184735765101356#0.041730652744719945#0.041730652744719945#0.041730652744719945#0.044679060091100425	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	2.0#2.0#2.0#2.0#2.0	0#0#0#0#0	6#7#7#7#7	44.0#47.0#47.0#47.0#47.0	113.9580078125#113.55796813964844#113.55796813964844#113.55796813964844#113.55796813964844	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	0#7#16#179#4045	0#1#0#0#1	0#2#0#0#2	0#11#0#0#6	0#11#0#0#6	0#1#7#12#41	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	2235.9858#2541.889#2541.889#2541.889#2541.889	124.221436#141.21605#141.21605#141.21605#141.21605	209.21506#225.94568#225.94568#225.94568#225.94568	0.06973835#0.07531523#0.07531523#0.07531523#0.07531523	10.6875#11.25#11.25#11.25#11.25	activeSessions.json
4440	18#18#18#18#18#25#26#29#29#29#28#28#28#22	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	4.882842040268376E-11#4.986445975591973E-11#4.986445975591973E-11#4.986445975591973E-11#2.059001839239293E-11#2.5533131312278466E-18#2.3508906089242796E-19#6.505251806069403E-25#2.2327489811369046E-25#2.2255620215103087E-25#4.963075380792536E-24#1.6939471812019307E-23#6.129716893493532E-24#1.8985399342894437E-17	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1	1.49#1.49#1.49#1.49#1.49#1.3#1.28#1.22#1.22#1.22#1.24#1.24#1.24#1.37	0#0#0#0#0#0#0#0#0#0#0#0#0#0	30#30#30#30#31#45#47#53#53#53#51#50#50#37	179.0#179.0#179.0#179.0#180.0#260.0#272.0#329.0#334.0#334.0#320.0#316.0#320.0#246.0	88.02716827392578#88.02716827392578#88.02716827392578#88.02716827392578#87.89177703857422#80.29830169677734#79.39332580566406#76.4478759765625#76.36944580078125#76.36944580078125#77.20409393310547#77.29962921142578#77.21903991699219#82.69327545166016	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	7#7#7#7#7#10#10#11#11#11#11#11#11#8	0#66#82#245#393#448#1059#2769#2780#2817#2928#2961#3426#4111	0#4#0#0#1#7#3#8#1#1#0#1#1#8	0#8#0#0#2#7#5#13#2#2#1#2#2#22	0#20#0#0#19#396#197#311#17#4#62#17#17#551	0#20#0#0#19#396#197#311#17#4#62#17#17#551	0#24#7#12#3#21#16#25#24#22#21#3#27#41	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	40059.74#40059.74#40059.74#40059.74#40401.87#83128.69#95003.52#122277.73#124136.05#124136.05#112068.164#109949.64#109555.35#66840.72	2225.541#2225.541#2225.541#2225.541#2244.5483#4618.2603#5277.9736#6793.207#6896.4473#6896.4473#6226.0093#6108.3135#6086.408#3713.3733	999.70825#999.70825#999.70825#999.70825#1026.0792#1588.2163#1672.7312#2097.388#2129.2632#2129.2632#2023.017#1986.1871#2017.2097#1492.2579	0.3332361#0.3332361#0.3332361#0.3332361#0.3420264#0.5294054#0.5575771#0.6991293#0.7097544#0.7097544#0.674339#0.6620624#0.6724032#0.4974193	40.07143#40.07143#40.07143#40.07143#39.375#52.340908#56.795452#58.300003#58.300003#58.300003#55.396553#55.35714#54.310345#44.791664	setSameAttribute.json
1512	54#56#56#56#56#51#51	0.0#0.0#0.0#0.0#0.0#0.0#0.0	5.168775980517663E-47#2.3528951724626283E-49#7.497210482299294E-50#7.52984738458905E-50#7.511539860182998E-50#6.275140694457083E-44#1.0022737011098226E-43	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	0.92#0.9#0.9#0.9#0.9#0.94#0.94	0#0#0#0#0#0#0	94#98#98#98#98#87#87	571.0#594.0#598.0#598.0#598.0#541.0#541.0	63.10203170776367#62.27167892456055#62.22803497314453#62.22803497314453#62.22803497314453#64.3750228881836#64.3949203491211	0#0#0#0#0#0#0	0#0#0#0#0#0#0	21#22#22#22#22#19#19	0#110#498#553#846#1183#1481	0#3#1#2#1#26#1	0#4#2#4#2#57#2	0#133#17#19#3#1193#10	0#133#17#19#3#1193#10	0#3#27#4#2#41#11	0#0#0#0#0#0#0	0#0#0#0#1#0#0	0#0#0#0#1#0#0	352020.12#375942.0#374274.84#374274.84#374274.84#279697.4#282292.78	19556.674#20885.666#20793.047#20793.047#20793.047#15538.745#15682.933	3936.941#4123.8535#4158.6094#4158.6094#4158.6094#3682.779#3668.7156	1.3123137#1.3746178#1.3862032#1.3862032#1.3862032#1.2275931#1.2229052	89.414635#91.16279#90.0#90.0#90.0#75.94737#76.945946	changeSessionIdConcurrentInvalidate.json
1466	8#8	0.11078237742185593#0.031691499054431915	0.013996750790201707#0.002172352344171342	0#0	0#0	0#0	1#1	1.94#1.94	0#0	6#6	59.0#68.0	107.77215576171875#106.87027740478516	0#0	0#0	3#3	0#1137	0#3	0#6	0#39	0#39	0#41	0#0	0#0	0#0	5891.3057#8008.045	327.29477#444.8914	280.53836#333.66855	0.09351279#0.11122285	21.0#24.0	getGroup.json
665	20	0.0	6.841053041796819E-12	0	0	0	1	1.43	0	33	196.0	85.90602111816406	0	0	5	0	0	0	0	0	0	0	0	0	53202.95	2955.7195	1082.6182	0.36087272	49.142857	getNextTimeout.json
4374	14#14#15#15#35#35#35#35#35#18#15	4.8145290929824114E-4#4.8145290929824114E-4#7.689389167353511E-4#7.689389167353511E-4#0.0#0.0#0.0#0.0#0.0#4.958028439432383E-4#1.0094018216477707E-4	2.6742927952903956E-7#2.6742927952903956E-7#8.05332992866032E-8#8.05332992866032E-8#2.087527201606713E-23#4.945365253261079E-24#4.957155811641749E-24#4.103892184027317E-24#4.113151039862963E-24#6.471063535498875E-11#8.843121880234E-9	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1	1.64#1.64#1.6#1.6#1.12#1.12#1.12#1.12#1.12#1.49#1.6	0#0#0#0#0#0#0#0#0#0#0	21#21#22#22#58#62#62#62#62#27#22	126.0#126.0#134.0#134.0#329.0#333.0#333.0#333.0#333.0#170.0#144.0	94.04241180419922#94.04241180419922#92.57383728027344#92.57383728027344#73.49049377441406#73.38209533691406#73.38209533691406#73.36737060546875#73.36737060546875#88.1156997680664#92.14051055908203	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	4#4#5#5#13#13#13#13#13#7#4	0#16#24#179#382#753#908#2703#2768#2768#4045	0#0#3#0#24#7#1#3#1#8#9	0#0#5#0#28#14#2#6#2#33#21	0#0#55#0#1204#111#7#20#4#1134#450	0#0#55#0#1204#111#7#20#4#1134#450	0#7#6#12#21#6#3#25#1#1#41	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0	17288.928#17288.928#19869.525#19869.525#115459.28#127063.984#127063.984#129874.65#129874.65#30233.758#23290.062	960.496#960.496#1103.8625#1103.8625#6414.4043#7059.1104#7059.1104#7215.2583#7215.2583#1679.6532#1293.8923	687.88837#687.88837#735.9083#735.9083#2061.7727#2105.2021#2105.2021#2111.17#2111.17#982.8311#799.8608	0.22929612#0.22929612#0.24530278#0.24530278#0.6872576#0.70173407#0.70173407#0.7037233#0.7037233#0.32761037#0.26662025	25.133333#25.133333#27.0#27.0#56.000004#60.357143#60.357143#61.517857#61.517857#30.761906#29.117645	getSessionByIdentifier.json
665	7	0.012867959216237068	0.03108716369691528	0	0	0	1	1.98	0	6	51.0	110.63600158691406	0	0	1	0	0	0	0	0	0	0	0	0	4045.3892	224.74384	245.1751	0.08172503	16.5	getTimeoutMatcher.json
5157	5#4#4#4#4#7#7#7#7	0.08955853432416916#0.06121089309453964#0.05975741893053055#0.05975741893053055#0.05975741893053055#0.0#0.0#0.0#0.0	0.6917698163435209#0.6625533201776579#0.6757123365098274#0.6757123365098274#0.6757123365098274#1.1986589249346796E-4#1.1855412591096475E-4#5.573499831293867E-5#5.230784695398861E-5	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1	1.96#1.73#1.73#1.73#1.73#1.98#1.98#1.98#1.98	0#0#0#0#0#0#0#0#0	2#2#2#2#2#8#8#8#8	24.0#23.0#23.0#23.0#23.0#84.0#84.0#88.0#88.0	120.96249389648438#124.7987289428711#124.7987289428711#124.7987289428711#124.7987289428711#107.79096221923828#107.79096221923828#107.50485229492188#107.50485229492188	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#0#0#0#0#1#1#1#1	0#717#783#799#962#3486#3534#4143#4828	0#2#1#0#0#4#1#1#3	0#5#2#0#0#5#2#2#6	0#72#5#0#0#256#4#17#80	0#72#5#0#0#256#4#17#80	0#20#24#7#12#25#22#27#41	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0	624.0#598.0#598.0#598.0#598.0#6302.97#6302.97#6508.822#6508.822	34.666668#33.22222#33.22222#33.22222#33.22222#350.165#350.165#361.6012#361.6012	96.0#92.0#92.0#92.0#92.0#423.7291#423.7291#447.69675#447.69675	0.032#0.030666666#0.030666666#0.030666666#0.030666666#0.14124303#0.14124303#0.14923225#0.14923225	6.5#6.5#6.5#6.5#6.5#14.875#14.875#14.538462#14.538462	getSessionManager.json
4195	20#14	0.0#0.001175678102299571	1.5823742516696133E-10#6.8852835490716746E-6	0#0	0#0	0#0	1#1	1.43#1.64	0#0	28#16	183.0#116.0	86.387939453125#94.83934783935547	0#0	0#0	5#4	0#3136	0#0	0#6	0#351	0#351	0#2	0#0	0#1	0#1	45126.85#18412.545	2507.0474#1022.9192	986.79407#590.1457	0.32893136#0.19671524	45.73077#31.199999	findSessionId.json
1480	19#24#27#26	0.0#0.0#0.0#0.0	8.940800726113571E-13#4.4188344369007596E-18#4.3785190526667977E-20#7.76586749837966E-19	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.46#1.32#1.26#1.28	0#0#0#0	18#26#29#28	186.0#242.0#266.0#254.0	86.55970764160156#81.08267974853516#78.61640930175781#79.5343246459961	0#0#0#0	0#0#0#0	11#14#15#14	0#573#627#1438	0#6#3#1	0#7#3#3	0#302#166#104	0#302#166#104	0#1#1#10	0#0#0#0	0#0#0#0	0#0#0#0	30057.637#54093.656#68086.56#57654.508	1669.8687#3005.2031#3782.587#3203.0283	1120.1604#1551.0726#1726.833#1627.9854	0.3733868#0.5170242#0.575611#0.5426618	26.833332#34.875#39.428574#35.414635	createSessionResponseCommitted.json
5157	8#10#10#10#10#17#18#21#21#21#28#28#21	0.12287008762359619#0.03133532032370567#0.02974640391767025#0.02974640391767025#0.02974640391767025#6.451400113292038E-4#3.8298749132081866E-4#0.0#0.0#0.0#0.0#0.0#0.0	0.10687240564665747#0.0034444868026579896#0.0035261483883110957#0.0035261483883110957#0.0035261483883110957#3.0512721026997142E-9#5.221591668171237E-10#1.3427130564856903E-15#4.908836646912593E-16#4.873138252929124E-16#2.0134257177560176E-21#7.360784270976314E-22#2.823527319547661E-15	4#0#0#0#0#0#0#0#0#0#0#0#0	2#0#0#0#0#0#0#0#0#0#0#0#0	6#0#0#0#0#0#0#0#0#0#0#0#0	2#1#1#1#1#1#1#1#1#1#1#1#1	2.65#1.83#1.83#1.83#1.83#1.52#1.49#1.4#1.4#1.4#1.24#1.24#1.4	1#0#0#0#0#0#0#0#0#0#0#0#0	5#9#9#9#9#23#25#31#31#31#47#47#32	47.0#72.0#72.0#72.0#72.0#152.0#162.0#225.0#230.0#230.0#301.0#305.0#226.0	108.72457885742188#102.90823364257812#102.90823364257812#102.90823364257812#102.90823364257812#89.74881744384766#88.43965148925781#83.96786499023438#83.85357666015625#83.85357666015625#77.7009506225586#77.61466217041016#84.06936645507812	0#0#0#0#0#0#0#0#0#0#0#0#0	1#0#0#0#0#0#0#0#0#0#0#0#0	1#4#4#4#4#7#7#8#8#8#8#8#5	0#717#783#799#962#1165#1776#3486#3497#3534#3645#4143#4828	0#9#1#0#0#7#2#5#1#1#8#1#8	0#16#2#0#0#7#3#7#2#2#9#2#23	0#262#5#0#0#396#110#278#17#4#430#17#581	0#262#5#0#0#396#110#278#17#4#430#17#581	0#20#24#7#12#21#16#25#24#22#21#27#41	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0	5408.2095#6103.57#6103.57#6103.57#6103.57#25521.516#30128.25#49500.0#50600.0#50600.0#85755.37#85418.63#46651.848	300.4561#339.08722#339.08722#339.08722#339.08722#1417.8619#1673.7916#2750.0#2811.111#2811.111#4764.187#4745.4795#2591.7693	223.47972#356.70215#356.70215#356.70215#356.70215#857.8661#923.47125#1350.0#1380.0#1380.0#1838.6658#1869.4313#1323.9038	0.07449324#0.11890072#0.11890072#0.11890072#0.11890072#0.28595537#0.30782375#0.45#0.46#0.46#0.6128886#0.62314373#0.44130126	24.2#17.11111#17.11111#17.11111#17.11111#29.75#32.625#36.666668#36.666668#36.666668#46.64#45.69231#35.238094	getAttribute.json
1297	36#34#34	0.0#2.504861040506512E-4#2.504861040506512E-4	6.73120978228034E-17#4.1093715451898057E-16#4.1093715451898057E-16	1#1#1	1#1#1	2#2#2	3#2#2	4.14#4.23#4.23	2#2#2	22#22#22	253.0#242.0#242.0	73.75651550292969#75.16967010498047#75.16967010498047	0#0#0	0#0#0	10#9#9	0#944#1088	0#1#0	0#4#0	0#66#0	0#66#0	0#1#0	0#0#0	0#0#0	0#0#0	98194.38#91822.5#91822.5	5455.2437#5101.25#5101.25	1642.4388#1563.1825#1563.1825	0.5474796#0.5210608#0.5210608	59.785717#58.74074#58.74074	testGetContext.json
4358	10#18#18#27#28#29#32#31#31#40#40#32	0.013386458158493042#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	1.7365944405484324E-4#5.532823292950223E-11#5.532823292950223E-11#1.3473211623813575E-18#1.1721060058851549E-19#1.2802053732175116E-20#1.3057856995287553E-26#5.588060424404423E-27#5.5644648268632E-27#1.3634810119257994E-34#4.587028786230234E-35#1.4337843947770006E-27	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1	1.83#1.49#1.49#1.26#1.24#1.22#1.17#1.18#1.18#1.05#1.05#1.17	0#0#0#0#0#0#0#0#0#0#0#0	10#26#26#43#43#45#51#48#48#70#70#53	84.0#175.0#175.0#266.0#279.0#290.0#351.0#352.0#352.0#448.0#452.0#368.0	101.7701416015625#88.06388092041016#88.06388092041016#78.9152603149414#78.0606460571289#77.25730895996094#74.48861694335938#74.97447967529297#74.97447967529297#69.55130767822266#69.49215698242188#74.34425354003906	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	4#6#6#9#10#10#11#11#11#11#11#8	0#149#163#366#583#977#2687#2698#2735#2846#3344#4029	0#11#0#12#2#2#6#2#1#10#1#11	0#14#0#15#3#3#9#5#2#11#2#30	0#592#0#460#102#245#289#226#4#523#17#694	0#592#0#460#102#245#289#226#4#523#17#694	0#2#12#21#2#16#25#24#22#21#27#41	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	9489.939#33437.457#33437.457#77255.375#83882.555#94805.19#123733.3#126900.74#126900.74#199183.19#198066.44#131506.84	527.2189#1857.6365#1857.6365#4291.9653#4660.142#5266.955#6874.0723#7050.041#7050.041#11065.732#11003.691#7305.9355	443.9738#992.67444#992.67444#1630.3893#1715.7794#1795.0491#2249.6963#2262.0452#2262.0452#2901.1284#2934.3176#2313.028	0.14799125#0.3308915#0.3308915#0.5434631#0.5719265#0.5983497#0.7498988#0.754015#0.754015#0.9670428#0.9781059#0.7710094	21.375#33.68421#33.68421#47.384617#48.888893#52.814816#55.0#56.100002#56.100002#68.65714#67.5#56.85484	getAuthenticatedSessionAttribute.json
