Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2172	22#22#22#22	0.0#0.0#0.0#0.0	2.093501529806585E-11#9.328180928280654E-11#1.7390849075748428E-11#1.7390849075748428E-11	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.37#1.37#1.37#1.37	0#0#0#0	24#24#28#28	186.0#178.0#186.0#186.0	84.47040557861328#84.69901275634766#84.44539642333984#84.44539642333984	0#0#0#0	0#0#0#0	8#8#8#8	0#912#1690#1863	0#2#5#0	0#4#10#0	0#96#69#0	0#96#69#0	0#4#10#0	0#0#0#0	0#0#0#0	0#0#0#0	51298.934#44914.438#47378.664#47378.664	2849.9407#2495.2466#2632.148#2632.148	1060.2819#1014.6783#1065.3932#1065.3932	0.3534273#0.33822608#0.35513106#0.35513106	48.382355#44.264706#44.47059#44.47059	testStreamClosingExceptionally.json
3388	9#9#9	0.005087410099804401#0.005087410099804401#0.008187432773411274	1.9971813036976277E-4#1.9971813036976277E-4#3.6977418549860596E-4	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	11#11#11	79.0#79.0#76.0	103.79609680175781#103.79609680175781#104.03441619873047	0#0#0	0#0#0	2#2#2	0#553#2954	0#0#3	0#0#6	0#0#17	0#0#17	0#1#10	0#0#0	0#0#0	0#0#0	12134.953#12134.953#9721.786	674.16406#674.16406#540.09924	417.54678#417.54678#398.8425	0.13918225#0.13918225#0.1329475	29.0625#29.0625#24.375	testFetchNextRecordReaderHasNewValue.json
4045	38#39#39#39#39#39#42#42#44#42#41#43#43#43#43#42#39#40#42#41#41#41#41#41#43#43#42	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#1.0018209286499768E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	1.5663373266990575E-21#1.0928279281152865E-22#1.0928279281152865E-22#1.0928279281152865E-22#2.16183575827032E-23#3.9136716535079524E-23#5.6098275398711876E-24#3.5912574360516426E-25#3.233198137123905E-24#1.0018623343097189E-21#2.410324954015252E-21#1.8518875626842943E-25#1.8518168009290501E-25#1.8518168009290501E-25#1.8518168009290501E-25#2.80785122246246E-24#5.311476151975106E-22#9.100647911712325E-23#2.717214538334347E-25#3.897275165079521E-24#3.1362762644716232E-24#2.026554591824538E-24#1.46951868820844E-24#1.46951868820844E-24#1.9007601763340377E-25#6.328940528269621E-26#5.245084825193534E-24	1#1#1#1#1#1#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3	1#1#1#1#1#1#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#2#3#3#3	2#2#2#2#2#2#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#5#6#6#6	4#4#4#4#4#4#5#5#5#5#5#5#5#5#5#5#4#4#4#4#4#4#4#4#5#5#5	3.84#3.79#3.79#3.79#3.79#3.79#4.77#4.77#4.66#4.74#4.8#4.69#4.69#4.69#4.69#4.74#4.85#4.8#4.69#4.74#4.74#4.74#4.74#4.74#4.65#4.65#4.71	2#2#2#2#2#2#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3	28#31#31#31#33#32#33#33#39#35#32#35#35#35#35#34#30#31#32#31#31#31#32#32#38#39#39	302.0#314.0#314.0#314.0#320.0#318.0#330.0#343.0#338.0#310.0#305.0#348.0#348.0#348.0#348.0#336.0#310.0#317.0#342.0#331.0#332.0#334.0#334.0#334.0#347.0#352.0#333.0	71.69227600097656#71.03255462646484#71.03255462646484#71.03255462646484#70.91069030761719#70.95494079589844#69.28604888916016#69.09635162353516#68.44194793701172#69.68061828613281#70.16764831542969#68.6512680053711#68.6512680053711#68.6512680053711#68.6512680053711#69.24987030029297#71.1605224609375#70.58490753173828#69.31922149658203#69.9247817993164#69.90908813476562#69.87786102294922#69.85499572753906#69.85499572753906#68.65486907958984#68.58047485351562#69.2965087890625	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	8#9#9#9#9#9#9#9#9#9#9#10#10#10#10#9#9#10#12#11#11#11#11#11#11#11#10	0#0#34#35#70#108#110#215#272#321#474#490#743#1086#1316#1316#1317#1959#1974#1988#2045#2128#2150#2398#2982#3015#3770	0#6#0#0#1#1#7#4#10#9#2#7#1#0#0#0#1#2#8#3#1#1#1#0#10#1#0	0#11#0#0#2#2#11#8#18#20#5#12#2#0#0#1#5#3#14#7#2#2#2#0#18#2#1	0#438#0#0#29#17#125#174#490#339#123#281#7#0#0#85#177#129#291#147#6#3#11#0#345#31#97	0#438#0#0#29#17#125#174#490#339#123#281#7#0#0#85#177#129#291#147#6#3#11#0#345#31#97	0#1#1#0#1#1#1#3#3#1#1#1#1#1#1#3#3#1#3#3#1#1#1#29#3#1#1	0#0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0	0#0#0#0#0#1#1#0#1#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0	0#0#0#0#0#1#1#0#1#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#1#0	169971.22#181955.69#181955.69#181955.69#191914.78#187490.33#210602.58#248275.95#234756.06#202686.38#195876.66#267613.88#267613.88#267613.88#267613.88#253166.48#213039.17#215052.31#235190.1#224005.33#224682.1#228663.89#227822.25#227822.25#231310.25#237371.67#215309.55	9442.846#10108.649#10108.649#10108.649#10661.933#10416.129#11700.144#13793.108#13042.004#11260.3545#10882.036#14867.4375#14867.4375#14867.4375#14867.4375#14064.805#11835.51#11947.351#13066.116#12444.74#12482.339#12703.55#12656.792#12656.792#12850.569#13187.315#11961.642	1974.8259#2067.6782#2067.6782#2067.6782#2116.707#2098.7722#2197.21#2278.8425#2235.772#2036.6553#1999.1495#2307.016#2307.016#2307.016#2307.016#2212.5474#2017.4164#2082.6443#2281.9695#2189.469#2196.0837#2209.313#2219.0479#2219.0479#2305.418#2338.6372#2192.7925	0.6582753#0.6892261#0.6892261#0.6892261#0.705569#0.69959074#0.73240334#0.75961417#0.7452573#0.6788851#0.6663832#0.76900536#0.76900536#0.76900536#0.76900536#0.7375158#0.6724721#0.69421476#0.7606565#0.729823#0.7320279#0.7364377#0.7396826#0.7396826#0.7684727#0.7795457#0.7309308	86.06896#88.0#88.0#88.0#90.66667#89.333336#95.85#108.94827#105.0#99.51923#97.979996#116.0#116.0#116.0#116.0#114.42308#105.6#103.25926#103.06452#102.31035#102.31035#103.5#102.66667#102.66667#100.33333#101.5#98.18966	testPlanWithExternalClass.json
2974	7	0.1441352665424347	0.053987276713531804	0	0	0	1	1.98	0	4	48.0	111.13117218017578	0	0	1	0	0	0	0	0	0	0	0	0	3725.6992	206.98329	222.90509	0.0743017	16.714285	create.json
3134	44#45#45#46#43#43#43#43#42#42#42#42#42#42#47#47#47#47	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	2.5055794043359055E-30#5.769889896030067E-31#5.769889896030067E-31#1.8900945160459837E-31#1.931510913899423E-36#5.167089879643735E-37#4.35969498345802E-37#1.231913181353992E-37#2.5615645089109237E-26#1.7262851028506303E-26#7.501545854369149E-27#2.094205887310584E-26#2.094205887310584E-26#2.0448076526290324E-26#3.1926304124663843E-29#2.173366650392091E-29#6.249098690591671E-30#6.249098690591671E-30	1#1#1#1#1#1#1#1#1#1#1#1#1#1#2#2#2#2	1#1#1#1#1#1#1#1#1#1#1#1#1#1#2#2#2#2	2#2#2#2#2#2#2#2#2#2#2#2#2#2#4#4#4#4	2#2#2#2#2#2#2#2#2#2#2#2#2#2#3#3#3#3	3.42#3.4#3.4#3.39#3.44#3.44#3.44#3.44#3.45#3.45#3.45#3.45#3.45#3.45#3.34#3.34#3.34#3.34	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	33#34#34#35#42#42#42#43#35#35#36#36#36#36#39#39#40#40	400.0#406.0#406.0#412.0#446.0#451.0#451.0#455.0#360.0#361.0#364.0#361.0#361.0#361.0#392.0#393.0#397.0#397.0	68.189208984375#67.71598815917969#67.71598815917969#67.27330017089844#67.81987762451172#67.7530746459961#67.74433135986328#67.68118286132812#69.56932067871094#69.54325103759766#69.48870849609375#69.55489349365234#69.55489349365234#69.55489349365234#66.9744644165039#66.95075225830078#66.87753295898438#66.87753295898438	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	6#6#6#6#5#5#5#5#4#4#4#4#4#4#5#5#5#5	0#154#444#627#812#822#822#878#1099#1104#1104#1104#1487#1545#1662#2474#2629#2887	0#2#0#1#2#1#1#1#1#1#1#1#0#1#6#1#1#0	0#3#0#1#7#2#2#2#3#2#2#2#0#2#7#2#2#0	0#38#0#56#577#25#8#66#556#14#20#38#0#10#341#21#39#0	0#38#0#56#577#25#8#66#556#14#20#38#0#10#341#21#39#0	0#1#0#1#2#2#1#1#1#1#1#1#29#1#1#4#1#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	218881.03#220298.0#220298.0#231940.42#240364.64#246853.89#242420.84#246219.47#156782.67#155336.62#159634.9#162272.22#162272.22#162272.22#192333.19#190661.9#193836.73#193836.73	12160.058#12238.777#12238.777#12885.579#13353.591#13714.105#13467.824#13678.859#8710.148#8629.8125#8868.605#9015.123#9015.123#9015.123#10685.177#10592.328#10768.707#10768.707	2680.176#2737.0356#2737.0356#2783.0137#3091.109#3131.074#3136.3425#3174.6624#2375.9685#2387.9102#2413.0857#2382.5684#2382.5684#2382.5684#2637.3447#2649.3965#2686.9692#2686.9692	0.893392#0.91234523#0.91234523#0.92767125#1.0303696#1.0436913#1.0454475#1.0582207#0.7919895#0.79597#0.8043619#0.79418945#0.79418945#0.79418945#0.8791149#0.88313216#0.8956564#0.8956564	81.666664#80.48781#80.48781#83.34146#77.76#78.840004#77.29412#77.557686#65.98685#65.051285#66.15385#68.10811#68.10811#68.10811#72.92683#71.96428#72.13954#72.13954	setupRocksKeyedStateBackend.json
3023	29#29#28#28#28	0.0#0.0#0.0#0.0#0.0	2.262539802714766E-34#2.262539802714766E-34#1.1783819758119646E-35#1.1783819758119646E-35#6.797691988244238E-36	1#1#1#1#1	1#1#1#1#1	2#2#2#2#2	2#2#2#2#2	1.28#1.28#1.3#1.3#1.3	1#1#1#1#1	52#52#58#58#58	442.0#442.0#449.0#449.0#449.0	74.81941986083984#74.81941986083984#75.24297332763672#75.24297332763672#75.21284484863281	0#0#0#0#0	1#1#1#1#1	5#5#5#5#5	0#1376#2549#2714#2778	0#0#7#0#3	0#0#15#0#6	0#0#216#0#36	0#0#216#0#36	0#29#51#0#41	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	381351.9#381351.9#423321.88#423321.88#410095.12	21186.217#21186.217#23517.883#23517.883#22783.062	2744.5784#2744.5784#2822.1458#2822.1458#2838.5457	0.9148595#0.9148595#0.94071525#0.94071525#0.9461819	138.94736#138.94736#150.0#150.0#144.47368	testRejectShrinkingMergingWindows.json
3095	6#7#7	0.09770709276199341#0.00979183241724968#0.009219901636242867	0.06062152693495527#0.00815869557488806#0.003012224698330959	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.81#1.81	0#0#0	7#11#11	47.0#61.0#64.0	113.87437438964844#109.8218994140625#109.4552993774414	0#0#0	1#1#1	1#1#1	0#43#373	0#1#1	0#1#2	0#91#57	0#91#57	0#3#7	0#0#0	0#0#0	0#0#0	3011.9382#4669.552#4546.6895	167.3299#259.41956#252.59386	212.6074#286.72684#307.67072	0.07086913#0.095575616#0.10255691	14.166666#16.285715#14.777778	createFailedCheckpointStats.json
3113	11#11#16#16#11	0.001717007253319025#0.001717007253319025#0.0046393307857215405#0.004245858173817396#0.002987780375406146	4.408274899944735E-7#4.408274899944735E-7#7.582007181259228E-7#7.415310317695096E-7#5.489477866642251E-7	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#2#2#1	1.78#1.78#2.45#2.45#1.78	0#0#1#1#0	18#18#16#16#16	112.0#112.0#118.0#118.0#110.0	98.41587829589844#98.41587829589844#91.74066925048828#91.74066925048828#98.48265075683594	0#0#0#0#0	0#0#0#0#0	4#4#4#4#4	0#0#0#221#2457	0#0#7#1#3	0#0#9#2#11	0#0#149#11#118	0#0#149#11#118	0#0#2#1#2	0#0#0#0#0	0#0#0#1#0	0#0#0#0#0	23756.463#23756.463#30516.643#30516.643#24832.967	1319.8035#1319.8035#1695.369#1695.369#1379.6093	628.84753#628.84753#675.89465#675.89465#620.82416	0.20961584#0.20961584#0.22529821#0.22529821#0.20694138	37.77778#37.77778#45.149998#45.149998#40.0	testPropagateFailures.json
3081	24#24#24#24#24#24	0.0#0.0#0.0#0.0#0.0#0.0	3.767458347997847E-20#6.86487270308817E-20#6.908903345288357E-20#9.310831468215343E-21#9.310831468215343E-21#9.284283105671094E-21	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.11#1.11#1.11#1.11#1.11#1.11	0#0#0#0#0#0	36#36#36#41#41#41	281.0#279.0#279.0#286.0#286.0#286.0	80.62958526611328#80.68608093261719#80.68608093261719#80.50025939941406#80.50025939941406#80.50025939941406	0#0#0#0#0#0	1#1#1#1#1#1	4#4#4#4#4#4	0#58#58#2607#2772#2836	0#1#1#5#0#1	0#2#2#10#0#2	0#19#6#91#0#12	0#19#6#91#0#12	0#28#9#51#0#41	0#0#0#0#0#0	0#0#1#0#0#0	0#0#1#0#0#0	167237.62#173259.0#173259.0#182489.95#182489.95#182489.95	9290.9795#9625.5#9625.5#10138.331#10138.331#10138.331	1692.2854#1674.0#1674.0#1734.9015#1734.9015#1734.9015	0.56409514#0.558#0.558#0.5783005#0.5783005#0.5783005	98.82353#103.5#103.5#105.1875#105.1875#105.1875	testDeletedTimerDoesNotFire.json
2704	55#54#54#54#54#54	0.0#0.0#0.0#0.0#0.0#0.0	2.3453984727565826E-50#1.5308256685922535E-53#1.2033060246114517E-53#1.1987063261358983E-53#1.9159786178348628E-53#1.9057941916095443E-53	2#2#2#2#2#2	3#3#3#3#3#3	5#5#5#5#5#5	6#6#6#6#6#6	5.78#5.82#5.82#5.82#5.82#5.82	5#5#5#5#5#5	42#41#41#41#41#41	596.0#628.0#628.0#628.0#627.0#627.0	61.35321807861328#61.39542007446289#61.38692855834961#61.38692855834961#61.403709411621094#61.403709411621094	0#0#0#0#0#0	0#0#0#0#0#0	7#6#6#6#6#6	0#88#245#2181#2230#2430	0#1#4#2#1#1	0#3#8#4#2#2	0#121#4#26#7#14	0#121#4#26#7#14	0#2#10#3#51#3	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	336803.5#347033.2#341902.06#341902.06#335636.94#335636.94	18711.305#19279.621#18994.559#18994.559#18646.496#18646.496	4172.0#4381.732#4388.894#4388.894#4374.755#4374.755	1.3906667#1.4605774#1.4629647#1.4629647#1.4582516#1.4582516	80.72951#79.200005#77.90164#77.90164#76.72131#76.72131	testDynamicProcessingTimeSessionWindows.json
3690	20#23#30#30#30#30#30#30#30#30#29#29#29#22#20#20	2.5382451713085175E-4#1.0027404641732574E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	5.324906028702124E-12#2.0434417218623915E-14#1.9138599855777828E-18#3.367973386582746E-17#2.1812404215414535E-17#2.1769998264615793E-17#1.2196264948056713E-17#6.98816719404121E-18#1.5637361891793653E-17#1.564398699212144E-17#1.2698600824563741E-16#2.2018572719002666E-16#3.3884035686158955E-16#1.4256487329653037E-15#6.987277536990125E-16#1.5473455354025468E-16	2#2#2#2#2#2#2#2#2#2#2#2#2#2#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#0#0	3#3#3#3#3#3#3#3#3#3#3#3#3#3#0#0	2#2#2#2#2#2#2#2#2#2#2#2#2#2#1#1	3.22#3.06#4.13#4.13#4.13#4.13#4.13#4.13#4.13#4.13#4.2#4.2#4.2#3.11#2.97#2.97	2#2#2#2#2#2#2#2#2#2#2#2#2#2#1#1	20#27#30#28#28#28#28#28#28#28#25#25#23#23#25#25	178.0#207.0#254.0#242.0#244.0#244.0#246.0#248.0#245.0#245.0#234.0#232.0#230.0#212.0#212.0#218.0	85.70838165283203#82.5357437133789#76.8818588256836#77.15852355957031#77.11572265625#77.11572265625#77.0606918334961#77.00617218017578#77.08187103271484#77.08187103271484#77.88253784179688#77.93992614746094#77.98494720458984#82.99272155761719#84.78124237060547#84.60733032226562	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	7#8#9#9#9#9#9#9#9#9#9#9#9#8#8#8	0#6#555#707#869#955#997#997#1000#1525#1550#1652#2218#3080#3125#3157	0#4#10#3#1#1#1#1#1#1#0#1#2#1#2#2	0#5#12#6#2#2#2#2#2#2#1#2#4#10#6#4	0#253#442#59#3#28#17#6#21#1#61#6#4#346#47#67	0#253#442#59#3#28#17#6#21#1#61#6#4#346#47#67	0#2#4#7#3#5#3#12#3#2#2#5#5#3#3#7	0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#1#0#0#0#0#0#0	40884.28#61279.266#95303.95#93326.59#95979.85#95979.85#95370.75#94842.16#93156.46#93156.46#83945.67#84342.16#82655.2#64519.74#63170.266#64152.258	2271.3489#3404.4036#5294.664#5184.8105#5332.214#5332.214#5298.375#5269.009#5175.359#5175.359#4663.6484#4685.6753#4591.9556#3584.43#3509.4592#3564.0144	1075.9021#1281.2937#1660.9463#1574.8864#1587.902#1587.902#1604.7963#1621.7114#1598.2727#1598.2727#1522.824#1506.11#1493.1262#1347.801#1344.0482#1389.7587	0.35863402#0.4270979#0.55364877#0.5249621#0.52930063#0.52930063#0.5349321#0.5405705#0.5327576#0.5327576#0.507608#0.5020367#0.49770874#0.449267#0.44801608#0.4632529	38.0#47.826088#57.37931#59.25926#60.444443#60.444443#59.42857#58.482758#58.285713#58.285713#55.125#56.0#55.357143#47.870373#47.0#46.160717	testCancelPartitionRequest.json
2693	16#16#16#16	0.0#0.0#0.0#0.0	2.0222555915470233E-10#5.524551577429E-11#7.745156608577023E-11#3.2155362397181964E-12	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.56#1.56#1.56#1.73	0#0#0#0	25#25#25#25	160.0#166.0#165.0#177.0	90.36289978027344#90.1476058959961#90.20288848876953#89.72364807128906	0#0#0#0	0#0#0#2	6#6#6#5	0#755#1628#2491	0#2#1#4	0#4#2#8	0#245#7#266	0#245#7#266	0#1#3#1	0#0#0#0	0#0#0#0	0#0#0#0	39501.547#43506.656#41970.395#43841.176	2194.5303#2417.0364#2331.6885#2435.6208	920.782#959.7057#949.55646#1041.2279	0.30692732#0.31990188#0.3165188#0.34707597	42.9#45.333332#44.2#42.105263	testReceiveEmptyBuffer.json
3081	13#13#13#13	0.0#0.0#0.0#0.0	5.5011840700898096E-12#9.344545533771751E-12#1.334987232806133E-11#1.334987232806133E-11	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.69#1.69#1.69#1.69	0#0#0#0	26#26#26#26	172.0#170.0#169.0#169.0	93.35059356689453#93.43583679199219#93.49152374267578#93.49152374267578	0#0#0#0	0#0#0#0	4#4#4#4	0#58#2607#2772	0#1#1#0	0#2#2#0	0#19#7#0	0#19#7#0	0#28#51#0	0#0#0#0	0#0#0#0	0#0#0#0	56105.97#58619.54#56646.41#56646.41	3116.9983#3256.641#3147.0227#3147.0227	989.84064#973.74646#963.3743#963.3743	0.32994688#0.32458216#0.32112476#0.32112476	56.68182#60.2#58.8#58.8	testAssignerIsInvokedOncePerElement.json
1115	11#11#11#11	0.0#0.0#0.0#0.0	1.782948261578564E-4#1.782948261578564E-4#1.782948261578564E-4#5.2111887185476576E-5	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	3.17#3.17#3.17#3.17	1#1#1#1	8#8#8#9	86.0#86.0#86.0#91.0	100.2186279296875#100.2186279296875#100.2186279296875#99.80989074707031	0#0#0#0	0#0#0#0	4#4#4#4	0#28#184#258	0#0#0#2	0#0#0#4	0#0#0#24	0#0#0#24	0#0#0#8	0#0#0#0	0#0#0#0	0#0#0#0	10670.726#10670.726#10670.726#11158.542	592.8181#592.8181#592.8181#619.919	444.61356#444.61356#444.61356#480.97162	0.14820452#0.14820452#0.14820452#0.16032387	24.0#24.0#24.0#23.2	doLoginMustThrowExceptionWithNoProxyUserSupport.json
3081	11#11#11#11	0.0#0.0#0.0#0.0	8.760387255910187E-17#3.7888977214508996E-19#3.7888977214508996E-19#3.6026246400533595E-19	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.78#1.78#1.78#1.78	0#0#0#0	38#23#23#23	227.0#256.0#256.0#256.0	94.66352844238281#94.03834533691406#94.03834533691406#94.03834533691406	0#0#0#0	0#0#0#0	2#2#2#2	0#2607#2772#2805	0#4#0#1	0#8#0#2	0#112#0#36	0#112#0#36	0#51#0#9	0#0#0#0	0#0#0#0	0#0#0#0	43348.996#48886.973#48886.973#48886.973	2408.2776#2715.9429#2715.9429#2715.9429	1293.9999#1459.3126#1459.3126#1459.3126	0.4313333#0.48643753#0.48643753#0.48643753	33.5#33.5#33.5#33.5	testTimeUnits.json
2718	34#31#25#25#25#25#25#25#25#25#25#25#25#25	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	1.109115058846609E-25#6.349864540537512E-23#2.6619181507650684E-17#4.033091597146555E-17#1.2223241924775764E-17#3.695153726305972E-18#3.004927680511354E-18#1.6832886142704516E-18#9.474339546745268E-19#4.0585292803268134E-20#2.104287780839175E-20#2.104287780839175E-20#3.0598098584028317E-20#2.005422054665011E-20	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	3#3#1#1#1#1#1#1#1#1#1#1#1#1	1.53#1.6#1.3#1.3#1.3#1.3#1.3#1.3#1.3#1.3#1.3#1.3#1.3#1.3	1#1#0#0#0#0#0#0#0#0#0#0#0#0	44#38#29#29#29#29#29#29#29#31#38#38#38#38	338.0#306.0#243.0#241.0#246.0#251.0#252.0#254.0#256.0#268.0#271.0#271.0#270.0#272.0	73.15093231201172#75.21595001220703#80.54852294921875#80.59149932861328#80.46878814697266#80.3484878540039#80.32781219482422#80.27127838134766#80.2153091430664#79.91864776611328#79.86076354980469#79.86076354980469#79.89427185058594#79.85589599609375	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	15#14#12#12#12#12#12#12#12#12#12#12#12#12	0#10#34#129#270#640#974#994#1019#2187#2236#2409#2443#2470	0#0#2#1#1#1#2#1#1#1#9#0#1#1	0#3#10#2#2#2#4#2#2#2#18#0#2#2	0#208#442#3#32#33#56#5#7#89#228#0#18#7	0#208#442#3#32#33#56#5#7#89#228#0#18#7	0#5#7#2#2#2#2#2#2#3#10#0#1#2	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#1#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	170884.7#136725.23#102099.4#101259.08#105633.15#110107.44#105671.09#104171.12#102829.28#112367.44#104210.984#104210.984#105781.72#108654.805	9493.595#7595.846#5672.189#5625.5044#5868.5083#6117.08#5870.616#5787.284#5712.738#6242.6353#5789.499#5789.499#5876.762#6036.378	2204.9639#1976.586#1513.603#1501.1454#1536.9902#1572.9634#1579.2302#1596.4922#1613.7678#1708.5106#1727.6357#1727.6357#1716.5391#1729.2542	0.734988#0.658862#0.50453436#0.50038177#0.51233006#0.52432114#0.5264101#0.53216404#0.5379226#0.56950355#0.57587856#0.57587856#0.5721797#0.57641804	77.5#69.17242#67.454544#67.454544#68.72727#70.0#66.91304#65.25#63.719997#65.76923#60.32#60.32#61.625#62.833336	testNoRestore.json
2584	17#17#18#18#17#17	0.0#0.0#0.0#0.0#0.0#0.0	2.1084552989337252E-12#2.1084552989337252E-12#6.678591437329878E-14#3.0452456074446325E-16#1.8040908359538783E-14#1.8040908359538783E-14	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	1#1#1#1#1#1	1.52#1.52#1.49#1.49#1.52#1.52	0#0#0#0#0#0	23#23#25#30#27#27	196.0#196.0#216.0#241.0#218.0#218.0	88.59955596923828#88.59955596923828#87.1375503540039#86.50898742675781#87.98564910888672#87.98564910888672	0#0#0#0#0#0	0#0#0#0#0#0	4#4#4#4#4#4	0#937#1321#1382#1406#2337	0#0#1#5#0#0	0#0#1#10#1#0	0#0#159#255#188#0	0#0#159#255#188#0	0#29#1#1#1#0	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	44005.746#44005.746#51775.906#62544.98#48700.63#48700.63	2444.7637#2444.7637#2876.4392#3474.7212#2705.5906#2705.5906	1070.0486#1070.0486#1186.2404#1338.6559#1204.1365#1204.1365	0.35668287#0.35668287#0.39541346#0.44621864#0.4013788#0.4013788	41.125#41.125#43.64706#46.722225#40.444443#40.444443	testChooseTheBestStateHandleForInitial.json
3081	15#15#15#15#15	0.0#0.0#0.0#0.0#0.0	4.141738308304594E-12#6.990657704382847E-12#6.1164139577867584E-12#6.1164139577867584E-12#6.065041924310571E-12	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.6#1.6#1.6#1.6#1.6	0#0#0#0#0	24#24#28#28#28	172.0#170.0#171.0#171.0#171.0	90.87583923339844#90.95761108398438#90.92711639404297#90.92711639404297#90.92711639404297	0#0#0#0#0	0#0#0#0#0	4#4#4#4#4	0#58#2607#2772#2836	0#1#6#0#1	0#2#12#0#2	0#19#90#0#12	0#19#90#0#12	0#28#51#0#41	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	51368.656#52641.754#48483.758#48483.758#48483.758	2853.8142#2924.542#2693.542#2693.542#2693.542	1020.08685#1004.1714#1010.07825#1010.07825#1010.07825	0.34002894#0.3347238#0.33669275#0.33669275#0.33669275	50.35714#52.423077#48.0#48.0#48.0	testNoEventTimeGarbageCollectionTimerForLongMax.json
857	17	0.0	7.150619064742561E-11	0	0	0	1	3.1	1	15	167.0	89.15811920166016	0	0	7	0	0	0	0	0	0	0	0	0	30204.94	1678.0522	961.0662	0.32035542	31.428572	hadoopProxyUserSetWithDelegationTokensEnabledShouldThrow.json
